Scenario,Z,MuPriorSD,SigmaPrior,Status,Divergences,ElapsedSeconds,TraceFile,TraceplotFile,TraceSaveWarning,Error
1,0.9,2,HalfCauchy_beta1,success,0,25.11639094352722,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\posterior_traces\scenario_1_Z0p9_mu2_HalfCauchy_beta1.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\traceplots\traceplot_scenario_1_Z0p9_mu2_HalfCauchy_beta1.png,,
2,0.9,2,HalfCauchy_beta2p5,success,0,26.41727614402771,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\posterior_traces\scenario_2_Z0p9_mu2_HalfCauchy_beta2p5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\traceplots\traceplot_scenario_2_Z0p9_mu2_HalfCauchy_beta2p5.png,,
3,0.9,2,HalfCauchy_beta5,success,0,28.302990198135376,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\posterior_traces\scenario_3_Z0p9_mu2_HalfCauchy_beta5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\traceplots\traceplot_scenario_3_Z0p9_mu2_HalfCauchy_beta5.png,,
4,0.9,2,HalfNormal_sigma2,success,0,31.816832065582275,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\posterior_traces\scenario_4_Z0p9_mu2_HalfNormal_sigma2.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\traceplots\traceplot_scenario_4_Z0p9_mu2_HalfNormal_sigma2.png,,
5,0.9,5,HalfCauchy_beta1,success,0,31.637176513671875,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\posterior_traces\scenario_5_Z0p9_mu5_HalfCauchy_beta1.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\traceplots\traceplot_scenario_5_Z0p9_mu5_HalfCauchy_beta1.png,,
6,0.9,5,HalfCauchy_beta2p5,success,0,27.946808338165283,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\posterior_traces\scenario_6_Z0p9_mu5_HalfCauchy_beta2p5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\traceplots\traceplot_scenario_6_Z0p9_mu5_HalfCauchy_beta2p5.png,,
7,0.9,5,HalfCauchy_beta5,success,0,24.827351808547974,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\posterior_traces\scenario_7_Z0p9_mu5_HalfCauchy_beta5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\traceplots\traceplot_scenario_7_Z0p9_mu5_HalfCauchy_beta5.png,,
8,0.9,5,HalfNormal_sigma2,success,0,25.15704345703125,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\posterior_traces\scenario_8_Z0p9_mu5_HalfNormal_sigma2.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\traceplots\traceplot_scenario_8_Z0p9_mu5_HalfNormal_sigma2.png,,
9,0.9,10,HalfCauchy_beta1,success,0,25.61256718635559,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\posterior_traces\scenario_9_Z0p9_mu10_HalfCauchy_beta1.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\traceplots\traceplot_scenario_9_Z0p9_mu10_HalfCauchy_beta1.png,,
10,0.9,10,HalfCauchy_beta2p5,success,0,27.583109140396118,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\posterior_traces\scenario_10_Z0p9_mu10_HalfCauchy_beta2p5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\traceplots\traceplot_scenario_10_Z0p9_mu10_HalfCauchy_beta2p5.png,,
11,0.9,10,HalfCauchy_beta5,success,0,27.865830421447754,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\posterior_traces\scenario_11_Z0p9_mu10_HalfCauchy_beta5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\traceplots\traceplot_scenario_11_Z0p9_mu10_HalfCauchy_beta5.png,,
12,0.9,10,HalfNormal_sigma2,success,0,27.150067806243896,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\posterior_traces\scenario_12_Z0p9_mu10_HalfNormal_sigma2.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\traceplots\traceplot_scenario_12_Z0p9_mu10_HalfNormal_sigma2.png,,
13,0.7,2,HalfCauchy_beta1,success,0,27.807724237442017,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\posterior_traces\scenario_13_Z0p7_mu2_HalfCauchy_beta1.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\traceplots\traceplot_scenario_13_Z0p7_mu2_HalfCauchy_beta1.png,,
14,0.7,2,HalfCauchy_beta2p5,success,0,29.670639038085938,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\posterior_traces\scenario_14_Z0p7_mu2_HalfCauchy_beta2p5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\traceplots\traceplot_scenario_14_Z0p7_mu2_HalfCauchy_beta2p5.png,,
15,0.7,2,HalfCauchy_beta5,success,0,26.868921279907227,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\posterior_traces\scenario_15_Z0p7_mu2_HalfCauchy_beta5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\traceplots\traceplot_scenario_15_Z0p7_mu2_HalfCauchy_beta5.png,,
16,0.7,2,HalfNormal_sigma2,success,0,26.067274570465088,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\posterior_traces\scenario_16_Z0p7_mu2_HalfNormal_sigma2.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\traceplots\traceplot_scenario_16_Z0p7_mu2_HalfNormal_sigma2.png,,
17,0.7,5,HalfCauchy_beta1,success,0,27.023093461990356,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\posterior_traces\scenario_17_Z0p7_mu5_HalfCauchy_beta1.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\traceplots\traceplot_scenario_17_Z0p7_mu5_HalfCauchy_beta1.png,,
18,0.7,5,HalfCauchy_beta2p5,success,0,28.575598001480103,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\posterior_traces\scenario_18_Z0p7_mu5_HalfCauchy_beta2p5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\traceplots\traceplot_scenario_18_Z0p7_mu5_HalfCauchy_beta2p5.png,,
19,0.7,5,HalfCauchy_beta5,success,0,26.145475387573242,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\posterior_traces\scenario_19_Z0p7_mu5_HalfCauchy_beta5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\traceplots\traceplot_scenario_19_Z0p7_mu5_HalfCauchy_beta5.png,,
20,0.7,5,HalfNormal_sigma2,success,0,25.847413063049316,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\posterior_traces\scenario_20_Z0p7_mu5_HalfNormal_sigma2.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\traceplots\traceplot_scenario_20_Z0p7_mu5_HalfNormal_sigma2.png,,
21,0.7,10,HalfCauchy_beta1,success,0,28.861907482147217,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\posterior_traces\scenario_21_Z0p7_mu10_HalfCauchy_beta1.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\traceplots\traceplot_scenario_21_Z0p7_mu10_HalfCauchy_beta1.png,,
22,0.7,10,HalfCauchy_beta2p5,success,0,28.833008527755737,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\posterior_traces\scenario_22_Z0p7_mu10_HalfCauchy_beta2p5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\traceplots\traceplot_scenario_22_Z0p7_mu10_HalfCauchy_beta2p5.png,,
23,0.7,10,HalfCauchy_beta5,success,0,26.307004690170288,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\posterior_traces\scenario_23_Z0p7_mu10_HalfCauchy_beta5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\traceplots\traceplot_scenario_23_Z0p7_mu10_HalfCauchy_beta5.png,,
24,0.7,10,HalfNormal_sigma2,success,0,40.349175214767456,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\posterior_traces\scenario_24_Z0p7_mu10_HalfNormal_sigma2.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\traceplots\traceplot_scenario_24_Z0p7_mu10_HalfNormal_sigma2.png,,
25,0.5,2,HalfCauchy_beta1,success,0,46.22040104866028,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\posterior_traces\scenario_25_Z0p5_mu2_HalfCauchy_beta1.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\traceplots\traceplot_scenario_25_Z0p5_mu2_HalfCauchy_beta1.png,,
26,0.5,2,HalfCauchy_beta2p5,success,0,41.571897983551025,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\posterior_traces\scenario_26_Z0p5_mu2_HalfCauchy_beta2p5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\traceplots\traceplot_scenario_26_Z0p5_mu2_HalfCauchy_beta2p5.png,,
27,0.5,2,HalfCauchy_beta5,success,0,43.59238290786743,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\posterior_traces\scenario_27_Z0p5_mu2_HalfCauchy_beta5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\traceplots\traceplot_scenario_27_Z0p5_mu2_HalfCauchy_beta5.png,,
28,0.5,2,HalfNormal_sigma2,success,0,42.792638301849365,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\posterior_traces\scenario_28_Z0p5_mu2_HalfNormal_sigma2.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\traceplots\traceplot_scenario_28_Z0p5_mu2_HalfNormal_sigma2.png,,
29,0.5,5,HalfCauchy_beta1,success,0,41.46016001701355,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\posterior_traces\scenario_29_Z0p5_mu5_HalfCauchy_beta1.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\traceplots\traceplot_scenario_29_Z0p5_mu5_HalfCauchy_beta1.png,,
30,0.5,5,HalfCauchy_beta2p5,success,0,44.9156813621521,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\posterior_traces\scenario_30_Z0p5_mu5_HalfCauchy_beta2p5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\traceplots\traceplot_scenario_30_Z0p5_mu5_HalfCauchy_beta2p5.png,,
31,0.5,5,HalfCauchy_beta5,success,0,41.8927948474884,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\posterior_traces\scenario_31_Z0p5_mu5_HalfCauchy_beta5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\traceplots\traceplot_scenario_31_Z0p5_mu5_HalfCauchy_beta5.png,,
32,0.5,5,HalfNormal_sigma2,success,0,44.576762437820435,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\posterior_traces\scenario_32_Z0p5_mu5_HalfNormal_sigma2.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\traceplots\traceplot_scenario_32_Z0p5_mu5_HalfNormal_sigma2.png,,
33,0.5,10,HalfCauchy_beta1,success,0,43.00501012802124,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\posterior_traces\scenario_33_Z0p5_mu10_HalfCauchy_beta1.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\traceplots\traceplot_scenario_33_Z0p5_mu10_HalfCauchy_beta1.png,,
34,0.5,10,HalfCauchy_beta2p5,success,0,45.45998692512512,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\posterior_traces\scenario_34_Z0p5_mu10_HalfCauchy_beta2p5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\traceplots\traceplot_scenario_34_Z0p5_mu10_HalfCauchy_beta2p5.png,,
35,0.5,10,HalfCauchy_beta5,success,0,45.32986521720886,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\posterior_traces\scenario_35_Z0p5_mu10_HalfCauchy_beta5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_fixedZ_results\traceplots\traceplot_scenario_35_Z0p5_mu10_HalfCauchy_beta5.png,,
