Z,MuPrior,SigmaPrior,mu_omega,rho,sigma_collateral,sigma_direct,sigma_omega
0.5,"N(0,10Â²)",HalfCauchy_beta1,0.02487542070253418,0.02774261799934663,0.05704725085567408,0.0015127278751201345,0.03144475485499121
0.5,"N(0,10Â²)",HalfCauchy_beta2p5,0.025333393241102564,0.02311441229942024,0.06336754564837277,0.006816980291457053,0.0403539693581938
0.5,"N(0,10Â²)",HalfCauchy_beta5,0.021235508718975782,0.0238686948556861,0.06922399723420003,0.012468388265694408,0.044596543496739915
0.5,"N(0,10Â²)",HalfNormal_sigma2,0.02521595738580279,0.022231077877645444,0.0663006719727901,0.012647338863798652,0.043439943979008966
0.5,"N(0,2Â²)",HalfCauchy_beta1,0.021680131988065676,0.028343141302970443,0.05394073782426334,0.0026833409140780695,0.02940201817332455
0.5,"N(0,2Â²)",HalfCauchy_beta2p5,0.023973028012528208,0.02608680014699649,0.05937272521676962,0.0042706671027203935,0.03651274635120161
0.5,"N(0,2Â²)",HalfCauchy_beta5,0.02403393119800107,0.02298569633459968,0.06476743566021359,0.008135656456184748,0.0413644750775819
0.5,"N(0,2Â²)",HalfNormal_sigma2,0.027821246295943514,0.02676720517997977,0.06149379464065563,0.006219283179186297,0.0382970766846773
0.5,"N(0,5Â²)",HalfCauchy_beta1,0.020820458917227502,0.02761294717323426,0.05496776313933338,0.0010147620161848891,0.030456117845474973
0.5,"N(0,5Â²)",HalfCauchy_beta2p5,0.02657294279869926,0.023688054910682044,0.0623989331690048,0.006651912753970146,0.039232884405312474
0.5,"N(0,5Â²)",HalfCauchy_beta5,0.021893620243725265,0.022829096373083613,0.06972539258329524,0.009278688714827732,0.04481884115866519
0.5,"N(0,5Â²)",HalfNormal_sigma2,0.02404963202121496,0.023776655250201673,0.062181305854830504,0.00587843801962884,0.04050584944758073
0.7,"N(0,10Â²)",HalfCauchy_beta1,0.04469502213173138,0.030578249008567537,0.05682607642006754,0.011070667928522848,0.04179761394584869
0.7,"N(0,10Â²)",HalfCauchy_beta2p5,0.039347158064147125,0.025129354300673867,0.06694839508632011,0.01707142055536992,0.053655152093132985
0.7,"N(0,10Â²)",HalfCauchy_beta5,0.03989551238111633,0.02386770933565352,0.06811085202519329,0.021587131445579333,0.056301544497982414
0.7,"N(0,10Â²)",HalfNormal_sigma2,0.038811703305734135,0.025764191605123665,0.06522639006117248,0.017046342618276755,0.052391088295650645
0.7,"N(0,2Â²)",HalfCauchy_beta1,0.039630564727510975,0.027092457282707594,0.05828878772940138,0.01445041724012408,0.04465753717062437
0.7,"N(0,2Â²)",HalfCauchy_beta2p5,0.04072635519551854,0.026160055757706524,0.06810989631503306,0.01952536261558402,0.05246753169595442
0.7,"N(0,2Â²)",HalfCauchy_beta5,0.041784549581232566,0.02550022241246208,0.07156087012316215,0.024146229266979402,0.059816261933918646
0.7,"N(0,2Â²)",HalfNormal_sigma2,0.04135307593324472,0.024412610065203122,0.06817711787746827,0.017260633945383352,0.05444246077840864
0.7,"N(0,5Â²)",HalfCauchy_beta1,0.0427620026667504,0.026673670125394122,0.056794515152531866,0.014657767766239838,0.04576100507375025
0.7,"N(0,5Â²)",HalfCauchy_beta2p5,0.040869777850246425,0.02515955963731653,0.06906414243336378,0.020456171512038823,0.05248917133497111
0.7,"N(0,5Â²)",HalfCauchy_beta5,0.039323380908965755,0.02343233585698634,0.06781709716789219,0.022145077906276178,0.055116386390906325
0.7,"N(0,5Â²)",HalfNormal_sigma2,0.040124899764795496,0.02499674668679297,0.06639733797286262,0.018955052597861455,0.05456925939117907
0.9,"N(0,10Â²)",HalfCauchy_beta1,0.06199429180669486,0.028539973180679246,0.04940670978090911,0.029165797529437265,0.06703874755875439
0.9,"N(0,10Â²)",HalfCauchy_beta2p5,0.06184838806613846,0.024516780930350812,0.058203791611673994,0.03810085046186895,0.08125032167115598
0.9,"N(0,10Â²)",HalfCauchy_beta5,0.06146791105938937,0.02521545791683366,0.06063317035482563,0.03974666099206514,0.08104477799758292
0.9,"N(0,10Â²)",HalfNormal_sigma2,0.06271161285297833,0.02590444233441691,0.05301445683717476,0.03917355765233066,0.07863171433652116
0.9,"N(0,2Â²)",HalfCauchy_beta1,0.0639694010551784,0.027610200699753507,0.049236808516199826,0.027939840511157943,0.06573186531135278
0.9,"N(0,2Â²)",HalfCauchy_beta2p5,0.06474324432742379,0.02645825740225216,0.058857725824774776,0.03742642933318163,0.0782777520610538
0.9,"N(0,2Â²)",HalfCauchy_beta5,0.0644594367670468,0.026229772752813463,0.05662687657439058,0.03907494926865329,0.0784134978277049
0.9,"N(0,2Â²)",HalfNormal_sigma2,0.06151307652306559,0.025445026907044532,0.056474333624894624,0.035446145620625646,0.07673367619644145
0.9,"N(0,5Â²)",HalfCauchy_beta1,0.06386411153588223,0.026989362919456417,0.048543774614245416,0.029489548651706388,0.06755991004806061
0.9,"N(0,5Â²)",HalfCauchy_beta2p5,0.060463530207600646,0.02528945186914311,0.05942429263477833,0.03645966862864625,0.07955634602851802
0.9,"N(0,5Â²)",HalfCauchy_beta5,0.06248388647669911,0.02683634365988219,0.059354685954517206,0.038164038942273715,0.07963156511622627
0.9,"N(0,5Â²)",HalfNormal_sigma2,0.06311532478692594,0.026036167092571172,0.055719309338199796,0.03840171243704238,0.07791655163746802
