SigmaPrior,Parameter,MeanPosterior,MeanRMSE,CoverageRate,MinESS,MaxRhat
HalfCauchy_beta1,mu_omega,0.45730095494093603,0.04269904505906395,1.0,2816.0,1.0
HalfCauchy_beta2p5,mu_omega,0.4573469091373994,0.04265309086260056,1.0,2759.0,1.0
HalfCauchy_beta5,mu_omega,0.4581580291849831,0.04184197081501689,1.0,2696.0,1.0
HalfNormal_sigma2,mu_omega,0.4572537190144772,0.04274628098552283,1.0,2821.0,1.0
HalfCauchy_beta1,rho,0.87790917996579,0.02790917996578997,1.0,1334.0,1.01
HalfCauchy_beta2p5,rho,0.8750669696949491,0.025066969694949086,1.0,1525.0,1.0
HalfCauchy_beta5,rho,0.8745294810553335,0.024529481055333407,1.0,1425.0,1.0
HalfNormal_sigma2,rho,0.8750371247776643,0.02503712477766436,1.0,1783.0,1.0
HalfCauchy_beta1,sigma_collateral,0.7461052862185972,0.053894713781402884,1.0,1355.0,1.0
HalfCauchy_beta2p5,sigma_collateral,0.7371391724511009,0.06286082754889903,1.0,1546.0,1.0
HalfCauchy_beta5,sigma_collateral,0.7346866247024789,0.0653133752975211,1.0,1344.0,1.0
HalfNormal_sigma2,sigma_collateral,0.7383350313133279,0.06166496868667209,1.0,1269.0,1.0
HalfCauchy_beta1,sigma_direct,1.1861568150475506,0.01466498560361905,1.0,1850.0,1.0
HalfCauchy_beta2p5,sigma_direct,1.179246726305018,0.020753273694981908,1.0,1656.0,1.0
HalfCauchy_beta5,sigma_direct,1.176139242082385,0.023860757917614883,1.0,1923.0,1.0
HalfNormal_sigma2,sigma_direct,1.178774610562874,0.021225389437126003,1.0,1880.0,1.0
HalfCauchy_beta1,sigma_omega,1.0470943966646868,0.04709439666468687,1.0,1225.0,1.0
HalfCauchy_beta2p5,sigma_omega,1.0570884305554995,0.05708843055549936,1.0,1336.0,1.0
HalfCauchy_beta5,sigma_omega,1.0601226548330343,0.06012265483303428,1.0,1210.0,1.0
HalfNormal_sigma2,sigma_omega,1.057436402305215,0.05743640230521511,1.0,1321.0,1.0
