Z,Parameter,MeanPosterior,MeanRMSE,CoverageRate,MinESS,MaxRhat
0.5,mu_omega,0.47604122737301496,0.023958772626985064,1.0,2696.0,1.0
0.7,mu_omega,0.4592229997907505,0.04077700020924949,1.0,2816.0,1.0
0.9,mu_omega,0.4372804820445814,0.06271951795541862,1.0,2892.0,1.0
0.5,rho,0.8749205333086539,0.024920533308653865,1.0,1425.0,1.0
0.7,rho,0.8757305968395489,0.02573059683954899,1.0,1334.0,1.01
0.9,rho,0.8762559364720998,0.026255936472099766,1.0,1926.0,1.0
0.5,sigma_collateral,0.7379343705167165,0.06206562948328359,1.0,1344.0,1.0
0.7,sigma_collateral,0.7347232101362944,0.06527678986370573,1.0,1365.0,1.0
0.9,sigma_collateral,0.7445420053611181,0.055457994638882006,1.0,1269.0,1.0
0.5,sigma_direct,1.1941515017839728,0.00646484870440428,1.0,2095.0,1.0
0.7,sigma_direct,1.1818023103834803,0.018197689616519668,1.0,1930.0,1.0
0.9,sigma_direct,1.1642842333309176,0.03571576666908244,1.0,1656.0,1.0
0.5,sigma_omega,1.0383687684027294,0.03836876840272938,1.0,1210.0,1.0
0.7,sigma_omega,1.0519554177168606,0.05195541771686063,1.0,1225.0,1.0
0.9,sigma_omega,1.0759822271492367,0.07598222714923669,1.0,1321.0,1.0
