Scenario,ZPrior,MuPriorSD,SigmaPrior,Status,Divergences,ElapsedSeconds,TraceFile,TraceplotFile,TraceSaveWarning,Error
1,Beta_1_1_sampled,2,HalfCauchy_beta1,success,0,27.997833967208862,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_sampledZ_results\posterior_traces\scenario_1_Beta_1_1_sampled_mu2_HalfCauchy_beta1.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_sampledZ_results\traceplots\traceplot_scenario_1_Beta_1_1_sampled_mu2_HalfCauchy_beta1.png,,
2,Beta_1_1_sampled,2,HalfCauchy_beta2p5,success,0,28.068318128585815,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_sampledZ_results\posterior_traces\scenario_2_Beta_1_1_sampled_mu2_HalfCauchy_beta2p5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_sampledZ_results\traceplots\traceplot_scenario_2_Beta_1_1_sampled_mu2_HalfCauchy_beta2p5.png,,
3,Beta_1_1_sampled,2,HalfCauchy_beta5,success,0,28.811687469482422,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_sampledZ_results\posterior_traces\scenario_3_Beta_1_1_sampled_mu2_HalfCauchy_beta5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_sampledZ_results\traceplots\traceplot_scenario_3_Beta_1_1_sampled_mu2_HalfCauchy_beta5.png,,
4,Beta_1_1_sampled,2,HalfNormal_sigma2,success,0,29.357280254364014,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_sampledZ_results\posterior_traces\scenario_4_Beta_1_1_sampled_mu2_HalfNormal_sigma2.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_sampledZ_results\traceplots\traceplot_scenario_4_Beta_1_1_sampled_mu2_HalfNormal_sigma2.png,,
5,Beta_1_1_sampled,5,HalfCauchy_beta1,success,0,29.00026774406433,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_sampledZ_results\posterior_traces\scenario_5_Beta_1_1_sampled_mu5_HalfCauchy_beta1.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_sampledZ_results\traceplots\traceplot_scenario_5_Beta_1_1_sampled_mu5_HalfCauchy_beta1.png,,
6,Beta_1_1_sampled,5,HalfCauchy_beta2p5,success,0,29.975416898727417,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_sampledZ_results\posterior_traces\scenario_6_Beta_1_1_sampled_mu5_HalfCauchy_beta2p5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_sampledZ_results\traceplots\traceplot_scenario_6_Beta_1_1_sampled_mu5_HalfCauchy_beta2p5.png,,
7,Beta_1_1_sampled,5,HalfCauchy_beta5,success,0,29.24688458442688,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_sampledZ_results\posterior_traces\scenario_7_Beta_1_1_sampled_mu5_HalfCauchy_beta5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_sampledZ_results\traceplots\traceplot_scenario_7_Beta_1_1_sampled_mu5_HalfCauchy_beta5.png,,
8,Beta_1_1_sampled,5,HalfNormal_sigma2,success,0,29.98765778541565,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_sampledZ_results\posterior_traces\scenario_8_Beta_1_1_sampled_mu5_HalfNormal_sigma2.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_sampledZ_results\traceplots\traceplot_scenario_8_Beta_1_1_sampled_mu5_HalfNormal_sigma2.png,,
9,Beta_1_1_sampled,10,HalfCauchy_beta1,success,0,29.577301263809204,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_sampledZ_results\posterior_traces\scenario_9_Beta_1_1_sampled_mu10_HalfCauchy_beta1.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_sampledZ_results\traceplots\traceplot_scenario_9_Beta_1_1_sampled_mu10_HalfCauchy_beta1.png,,
10,Beta_1_1_sampled,10,HalfCauchy_beta2p5,success,0,30.488632678985596,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_sampledZ_results\posterior_traces\scenario_10_Beta_1_1_sampled_mu10_HalfCauchy_beta2p5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\AR1_sampledZ_results\traceplots\traceplot_scenario_10_Beta_1_1_sampled_mu10_HalfCauchy_beta2p5.png,,
