Structure,ZPrior,MuPrior,SigmaPrior,Parameter,True,PosteriorMean,Bias,MSE,RMSE,Lower95CrI,Upper95CrI,Coverage,ESS_Bulk,Rhat,Divergences,ElapsedSeconds
AR(1),Beta_1_1_sampled,"N(0,2²)",HalfCauchy_beta1,mu_omega,0.5,0.42990747142414043,-0.07009252857585957,0.00491296256215769,0.07009252857585957,0.1956935958541682,0.6718672821373415,True,3310.0,1.0,0,27.997833967208862
AR(1),Beta_1_1_sampled,"N(0,2²)",HalfCauchy_beta1,sigma_omega,1.0,1.079718311205028,0.07971831120502793,0.006355009141381681,0.07971831120502793,0.8298852823361181,1.3385843689826964,True,2192.0,1.0,0,27.997833967208862
AR(1),Beta_1_1_sampled,"N(0,2²)",HalfCauchy_beta1,rho,0.85,0.8753886975215516,0.025388697521551595,0.0006445859618408401,0.025388697521551595,0.6949057340246316,0.9837436275790541,True,2563.0,1.0,0,27.997833967208862
AR(1),Beta_1_1_sampled,"N(0,2²)",HalfCauchy_beta1,sigma_direct,1.2,1.1615795998985863,-0.038420400101413676,0.001476127143952708,0.038420400101413676,0.9141130969249642,1.3894245537030876,True,2489.0,1.0,0,27.997833967208862
AR(1),Beta_1_1_sampled,"N(0,2²)",HalfCauchy_beta1,sigma_collateral,0.8,0.7538554837668828,-0.046144516233117217,0.0021293163783884183,0.046144516233117217,0.3450409353475012,1.1481332950239775,True,1716.0,1.0,0,27.997833967208862
AR(1),Beta_1_1_sampled,"N(0,2²)",HalfCauchy_beta1,Z,,0.9472614768939989,,,,0.939630034346784,0.9499399089069026,,2610.0,1.0,0,27.997833967208862
AR(1),Beta_1_1_sampled,"N(0,2²)",HalfCauchy_beta2p5,mu_omega,0.5,0.4319897981089606,-0.0680102018910394,0.0046253875612599395,0.0680102018910394,0.19984341952981613,0.671520747045674,True,3342.0,1.0,0,28.068318128585815
AR(1),Beta_1_1_sampled,"N(0,2²)",HalfCauchy_beta2p5,sigma_omega,1.0,1.0854861286480326,0.08548612864803262,0.007307878191227983,0.08548612864803262,0.8377356092256432,1.34692513271025,True,1784.0,1.0,0,28.068318128585815
AR(1),Beta_1_1_sampled,"N(0,2²)",HalfCauchy_beta2p5,rho,0.85,0.8769682462170234,0.02696824621702343,0.0007272863040219985,0.02696824621702343,0.6977471793437934,0.982516494880262,True,2117.0,1.0,0,28.068318128585815
AR(1),Beta_1_1_sampled,"N(0,2²)",HalfCauchy_beta2p5,sigma_direct,1.2,1.155950558828591,-0.044049441171408965,0.0019403532675134193,0.044049441171408965,0.8954257988702173,1.3808755660744307,True,2011.0,1.0,0,28.068318128585815
AR(1),Beta_1_1_sampled,"N(0,2²)",HalfCauchy_beta2p5,sigma_collateral,0.8,0.7565583703350833,-0.043441629664916714,0.001887175187943772,0.043441629664916714,0.39353874631542807,1.13985914153852,True,3148.0,1.0,0,28.068318128585815
AR(1),Beta_1_1_sampled,"N(0,2²)",HalfCauchy_beta2p5,Z,,0.9471971461525865,,,,0.9397546157502553,0.9499207174562415,,2783.0,1.0,0,28.068318128585815
AR(1),Beta_1_1_sampled,"N(0,2²)",HalfCauchy_beta5,mu_omega,0.5,0.43250126270583145,-0.06749873729416855,0.004556079536307181,0.06749873729416855,0.18943845446668306,0.6702070771498723,True,3443.0,1.0,0,28.811687469482422
AR(1),Beta_1_1_sampled,"N(0,2²)",HalfCauchy_beta5,sigma_omega,1.0,1.0922321724123139,0.09223217241231385,0.008506773627894789,0.09223217241231385,0.8440650650648176,1.3628386387208307,True,1851.0,1.0,0,28.811687469482422
AR(1),Beta_1_1_sampled,"N(0,2²)",HalfCauchy_beta5,rho,0.85,0.8726242539760243,0.0226242539760243,0.0005118568679716514,0.0226242539760243,0.6888391484402019,0.9807693980647227,True,2317.0,1.0,0,28.811687469482422
AR(1),Beta_1_1_sampled,"N(0,2²)",HalfCauchy_beta5,sigma_direct,1.2,1.1516505822337395,-0.04834941776626045,0.0023376661983363816,0.04834941776626045,0.8911598111679396,1.3866241870786307,True,2161.0,1.0,0,28.811687469482422
AR(1),Beta_1_1_sampled,"N(0,2²)",HalfCauchy_beta5,sigma_collateral,0.8,0.7553160801318699,-0.04468391986813014,0.0019966526947814756,0.04468391986813014,0.3603581746448968,1.1377028948756152,True,2607.0,1.0,0,28.811687469482422
AR(1),Beta_1_1_sampled,"N(0,2²)",HalfCauchy_beta5,Z,,0.9472489991762664,,,,0.9396134591695888,0.9499336893010645,,2450.0,1.0,0,28.811687469482422
AR(1),Beta_1_1_sampled,"N(0,2²)",HalfNormal_sigma2,mu_omega,0.5,0.4280792338903657,-0.07192076610963433,0.005172596597796725,0.07192076610963433,0.19162892462791947,0.6619323097553818,True,3279.0,1.0,0,29.357280254364014
AR(1),Beta_1_1_sampled,"N(0,2²)",HalfNormal_sigma2,sigma_omega,1.0,1.0843998221557112,0.08439982215571118,0.007123329979915676,0.08439982215571118,0.8472577594328402,1.3466587671851922,True,2069.0,1.0,0,29.357280254364014
AR(1),Beta_1_1_sampled,"N(0,2²)",HalfNormal_sigma2,rho,0.85,0.8774411830474133,0.027441183047413276,0.0007530185270416417,0.027441183047413276,0.6966035774467891,0.9814518704643853,True,2698.0,1.0,0,29.357280254364014
AR(1),Beta_1_1_sampled,"N(0,2²)",HalfNormal_sigma2,sigma_direct,1.2,1.1610525971495405,-0.0389474028504595,0.0015169001887959809,0.0389474028504595,0.9144925771709693,1.3889549470210907,True,2170.0,1.0,0,29.357280254364014
AR(1),Beta_1_1_sampled,"N(0,2²)",HalfNormal_sigma2,sigma_collateral,0.8,0.7666866494283837,-0.03331335057161633,0.00110977932630741,0.03331335057161633,0.3862003721067298,1.1408150419353098,True,2282.0,1.0,0,29.357280254364014
AR(1),Beta_1_1_sampled,"N(0,2²)",HalfNormal_sigma2,Z,,0.9472004064259344,,,,0.9396574977854723,0.949925856787399,,2640.0,1.0,0,29.357280254364014
AR(1),Beta_1_1_sampled,"N(0,5²)",HalfCauchy_beta1,mu_omega,0.5,0.4318709485466119,-0.0681290514533881,0.0046415676519384035,0.0681290514533881,0.19357650792964187,0.6704804269972728,True,3334.0,1.0,0,29.00026774406433
AR(1),Beta_1_1_sampled,"N(0,5²)",HalfCauchy_beta1,sigma_omega,1.0,1.0796166441161008,0.07961664411610081,0.0063388100203098496,0.07961664411610081,0.8390250755344405,1.3386115658261304,True,2006.0,1.0,0,29.00026774406433
AR(1),Beta_1_1_sampled,"N(0,5²)",HalfCauchy_beta1,rho,0.85,0.8767377708243043,0.026737770824304286,0.0007149083886530174,0.026737770824304286,0.7075966806920793,0.9827351853960283,True,2598.0,1.0,0,29.00026774406433
AR(1),Beta_1_1_sampled,"N(0,5²)",HalfCauchy_beta1,sigma_direct,1.2,1.1601431848630332,-0.039856815136966706,0.0015885657128623383,0.039856815136966706,0.9131797067342201,1.3890318305979594,True,2458.0,1.0,0,29.00026774406433
AR(1),Beta_1_1_sampled,"N(0,5²)",HalfCauchy_beta1,sigma_collateral,0.8,0.7581064541404524,-0.04189354585954763,0.0017550691846860205,0.04189354585954763,0.37276445213785714,1.1217821765071276,True,2131.0,1.0,0,29.00026774406433
AR(1),Beta_1_1_sampled,"N(0,5²)",HalfCauchy_beta1,Z,,0.9472973829081195,,,,0.9397400126137211,0.9499368534570212,,2429.0,1.0,0,29.00026774406433
AR(1),Beta_1_1_sampled,"N(0,5²)",HalfCauchy_beta2p5,mu_omega,0.5,0.4317213203975742,-0.06827867960242578,0.004661978088250715,0.06827867960242578,0.19907790056292235,0.6662880137106099,True,3323.0,1.0,0,29.975416898727417
AR(1),Beta_1_1_sampled,"N(0,5²)",HalfCauchy_beta2p5,sigma_omega,1.0,1.0906344997188777,0.09063449971887771,0.008214612539291245,0.09063449971887771,0.8512550968326867,1.3427178669849638,True,2243.0,1.0,0,29.975416898727417
AR(1),Beta_1_1_sampled,"N(0,5²)",HalfCauchy_beta2p5,rho,0.85,0.873616598377944,0.023616598377944054,0.0005577437189451097,0.023616598377944054,0.6978413411075295,0.9799875703213987,True,2651.0,1.0,0,29.975416898727417
AR(1),Beta_1_1_sampled,"N(0,5²)",HalfCauchy_beta2p5,sigma_direct,1.2,1.155308806588767,-0.044691193411233066,0.0019973027685202416,0.044691193411233066,0.9179294643308427,1.3825143805009132,True,2397.0,1.0,0,29.975416898727417
AR(1),Beta_1_1_sampled,"N(0,5²)",HalfCauchy_beta2p5,sigma_collateral,0.8,0.7593920683594352,-0.040607931640564865,0.001649004112124789,0.040607931640564865,0.38475561360058785,1.1542512335446644,True,2516.0,1.0,0,29.975416898727417
AR(1),Beta_1_1_sampled,"N(0,5²)",HalfCauchy_beta2p5,Z,,0.9472912258158975,,,,0.9398999810339327,0.949932719326849,,2323.0,1.0,0,29.975416898727417
AR(1),Beta_1_1_sampled,"N(0,5²)",HalfCauchy_beta5,mu_omega,0.5,0.4312255237548477,-0.06877447624515232,0.00472992858279502,0.06877447624515232,0.19396508711618957,0.674192209673748,True,2854.0,1.0,0,29.24688458442688
AR(1),Beta_1_1_sampled,"N(0,5²)",HalfCauchy_beta5,sigma_omega,1.0,1.0888067788872535,0.08880677888725352,0.007886643976329539,0.08880677888725352,0.8419785072837891,1.3583423754981143,True,2178.0,1.0,0,29.24688458442688
AR(1),Beta_1_1_sampled,"N(0,5²)",HalfCauchy_beta5,rho,0.85,0.8758999092223123,0.025899909222312334,0.0006708052977240195,0.025899909222312334,0.6999025875283662,0.9840126389847952,True,2130.0,1.0,0,29.24688458442688
AR(1),Beta_1_1_sampled,"N(0,5²)",HalfCauchy_beta5,sigma_direct,1.2,1.15477258540192,-0.045227414598079996,0.0020455190312266194,0.045227414598079996,0.8979633969130802,1.3908717580124457,True,2409.0,1.0,0,29.24688458442688
AR(1),Beta_1_1_sampled,"N(0,5²)",HalfCauchy_beta5,sigma_collateral,0.8,0.7622640202459832,-0.03773597975401688,0.0014240041679955719,0.03773597975401688,0.38685973425606546,1.1565620592910697,True,3161.0,1.0,0,29.24688458442688
AR(1),Beta_1_1_sampled,"N(0,5²)",HalfCauchy_beta5,Z,,0.9472027199562947,,,,0.9395043604954868,0.9499335494796253,,2555.0,1.0,0,29.24688458442688
AR(1),Beta_1_1_sampled,"N(0,5²)",HalfNormal_sigma2,mu_omega,0.5,0.4322615528459206,-0.0677384471540794,0.004588497222846007,0.0677384471540794,0.19593101955062261,0.6635391228252042,True,3722.0,1.0,0,29.98765778541565
AR(1),Beta_1_1_sampled,"N(0,5²)",HalfNormal_sigma2,sigma_omega,1.0,1.08711067906154,0.08711067906153991,0.007588270406562608,0.08711067906153991,0.8410427236337717,1.3538167285773928,True,1969.0,1.0,0,29.98765778541565
AR(1),Beta_1_1_sampled,"N(0,5²)",HalfNormal_sigma2,rho,0.85,0.8767051209037734,0.026705120903773416,0.0007131634824851558,0.026705120903773416,0.6967271592356793,0.9833708732949211,True,2544.0,1.0,0,29.98765778541565
AR(1),Beta_1_1_sampled,"N(0,5²)",HalfNormal_sigma2,sigma_direct,1.2,1.1566250797043676,-0.04337492029563239,0.0018813837106524628,0.04337492029563239,0.905176148578045,1.3893745953717398,True,2109.0,1.0,0,29.98765778541565
AR(1),Beta_1_1_sampled,"N(0,5²)",HalfNormal_sigma2,sigma_collateral,0.8,0.7612564209393915,-0.038743579060608546,0.001501064918425625,0.038743579060608546,0.3791334727661064,1.1329418087459362,True,2618.0,1.0,0,29.98765778541565
AR(1),Beta_1_1_sampled,"N(0,5²)",HalfNormal_sigma2,Z,,0.9471747961844726,,,,0.9397760699503138,0.9499316111033081,,2608.0,1.0,0,29.98765778541565
AR(1),Beta_1_1_sampled,"N(0,10²)",HalfCauchy_beta1,mu_omega,0.5,0.43254320541995345,-0.06745679458004655,0.004550419135014598,0.06745679458004655,0.19511697854351728,0.6784362160111782,True,3571.0,1.0,0,29.577301263809204
AR(1),Beta_1_1_sampled,"N(0,10²)",HalfCauchy_beta1,sigma_omega,1.0,1.080757296374829,0.08075729637482909,0.006521740917771984,0.08075729637482909,0.8387658178158297,1.3422896809285354,True,2236.0,1.0,0,29.577301263809204
AR(1),Beta_1_1_sampled,"N(0,10²)",HalfCauchy_beta1,rho,0.85,0.8755849556733197,0.025584955673319754,0.0006545899568057367,0.025584955673319754,0.7037420455014426,0.9801767088882575,True,2941.0,1.0,0,29.577301263809204
AR(1),Beta_1_1_sampled,"N(0,10²)",HalfCauchy_beta1,sigma_direct,1.2,1.1589679873564331,-0.04103201264356682,0.0016836260615818272,0.04103201264356682,0.9100187768864902,1.3855124722487075,True,2378.0,1.0,0,29.577301263809204
AR(1),Beta_1_1_sampled,"N(0,10²)",HalfCauchy_beta1,sigma_collateral,0.8,0.758056743393829,-0.04194325660617104,0.0017592367747311108,0.04194325660617104,0.39032862826061016,1.1175228668736898,True,3163.0,1.0,0,29.577301263809204
AR(1),Beta_1_1_sampled,"N(0,10²)",HalfCauchy_beta1,Z,,0.9473424534694634,,,,0.9400172332816598,0.9499472529314188,,2062.0,1.0,0,29.577301263809204
AR(1),Beta_1_1_sampled,"N(0,10²)",HalfCauchy_beta2p5,mu_omega,0.5,0.4316156001259463,-0.0683843998740537,0.004676426146134476,0.0683843998740537,0.20502620998283297,0.6531738256643408,True,3690.0,1.0,0,30.488632678985596
AR(1),Beta_1_1_sampled,"N(0,10²)",HalfCauchy_beta2p5,sigma_omega,1.0,1.0842618424533474,0.08426184245334745,0.007100058093632746,0.08426184245334745,0.8468600996675326,1.337063124376794,True,2049.0,1.0,0,30.488632678985596
AR(1),Beta_1_1_sampled,"N(0,10²)",HalfCauchy_beta2p5,rho,0.85,0.8756807352659738,0.02568073526597381,0.0006595001638010308,0.02568073526597381,0.6916699067916222,0.9813043386964542,True,2789.0,1.0,0,30.488632678985596
AR(1),Beta_1_1_sampled,"N(0,10²)",HalfCauchy_beta2p5,sigma_direct,1.2,1.1585031381155666,-0.041496861884433356,0.0017219895462557379,0.041496861884433356,0.9134583113971629,1.3777230016343374,True,2176.0,1.0,0,30.488632678985596
AR(1),Beta_1_1_sampled,"N(0,10²)",HalfCauchy_beta2p5,sigma_collateral,0.8,0.7543946315903182,-0.04560536840968188,0.00207984962778281,0.04560536840968188,0.3819213998148802,1.1474120137825246,True,2072.0,1.0,0,30.488632678985596
AR(1),Beta_1_1_sampled,"N(0,10²)",HalfCauchy_beta2p5,Z,,0.9471901282095357,,,,0.9394398629015649,0.949925789540418,,2475.0,1.0,0,30.488632678985596
AR(1),Beta_1_1_sampled,"N(0,10²)",HalfCauchy_beta5,mu_omega,0.5,0.43288759652742964,-0.06711240347257036,0.004504074699865074,0.06711240347257036,0.2040135943634927,0.6713672624543456,True,3190.0,1.0,0,29.602408409118652
AR(1),Beta_1_1_sampled,"N(0,10²)",HalfCauchy_beta5,sigma_omega,1.0,1.089087789861558,0.08908778986155808,0.00793663430241713,0.08908778986155808,0.8538953742998407,1.3662040073895378,True,1891.0,1.0,0,29.602408409118652
AR(1),Beta_1_1_sampled,"N(0,10²)",HalfCauchy_beta5,rho,0.85,0.8741055725575293,0.02410557255752932,0.0005810786283263106,0.02410557255752932,0.6918256841463165,0.9820591488484363,True,2297.0,1.0,0,29.602408409118652
AR(1),Beta_1_1_sampled,"N(0,10²)",HalfCauchy_beta5,sigma_direct,1.2,1.1537539223678719,-0.04624607763212807,0.002138699696356816,0.04624607763212807,0.9012191312808625,1.3851334931982375,True,2114.0,1.0,0,29.602408409118652
AR(1),Beta_1_1_sampled,"N(0,10²)",HalfCauchy_beta5,sigma_collateral,0.8,0.7562254051985279,-0.043774594801472166,0.001916215150033074,0.043774594801472166,0.37378598456712253,1.144156091363149,True,2546.0,1.0,0,29.602408409118652
AR(1),Beta_1_1_sampled,"N(0,10²)",HalfCauchy_beta5,Z,,0.9471923591269772,,,,0.9400658083521477,0.9499546606988879,,2256.0,1.0,0,29.602408409118652
AR(1),Beta_1_1_sampled,"N(0,10²)",HalfNormal_sigma2,mu_omega,0.5,0.42783904341428375,-0.07216095658571625,0.005207203655365626,0.07216095658571625,0.19967821800471813,0.6538806021621418,True,3692.0,1.0,0,29.51587963104248
AR(1),Beta_1_1_sampled,"N(0,10²)",HalfNormal_sigma2,sigma_omega,1.0,1.090640782590564,0.09064078259056396,0.008215751468629883,0.09064078259056396,0.8351819018029295,1.3578424692352007,True,2156.0,1.0,0,29.51587963104248
