ZPrior,MuPrior,SigmaPrior,mu_omega,rho,sigma_collateral,sigma_direct,sigma_omega
Beta_1_1_sampled,"N(0,10²)",HalfCauchy_beta1,0.06745679458004655,0.025584955673319754,0.04194325660617104,0.04103201264356682,0.08075729637482909
Beta_1_1_sampled,"N(0,10²)",HalfCauchy_beta2p5,0.0683843998740537,0.02568073526597381,0.04560536840968188,0.041496861884433356,0.08426184245334745
Beta_1_1_sampled,"N(0,10²)",HalfCauchy_beta5,0.06711240347257036,0.02410557255752932,0.043774594801472166,0.04624607763212807,0.08908778986155808
Beta_1_1_sampled,"N(0,10²)",HalfNormal_sigma2,0.07216095658571625,0.02496288468730634,0.043474558454497214,0.04741273200317453,0.09064078259056396
Beta_1_1_sampled,"N(0,2²)",HalfCauchy_beta1,0.07009252857585957,0.025388697521551595,0.046144516233117217,0.038420400101413676,0.07971831120502793
Beta_1_1_sampled,"N(0,2²)",HalfCauchy_beta2p5,0.0680102018910394,0.02696824621702343,0.043441629664916714,0.044049441171408965,0.08548612864803262
Beta_1_1_sampled,"N(0,2²)",HalfCauchy_beta5,0.06749873729416855,0.0226242539760243,0.04468391986813014,0.04834941776626045,0.09223217241231385
Beta_1_1_sampled,"N(0,2²)",HalfNormal_sigma2,0.07192076610963433,0.027441183047413276,0.03331335057161633,0.0389474028504595,0.08439982215571118
Beta_1_1_sampled,"N(0,5²)",HalfCauchy_beta1,0.0681290514533881,0.026737770824304286,0.04189354585954763,0.039856815136966706,0.07961664411610081
Beta_1_1_sampled,"N(0,5²)",HalfCauchy_beta2p5,0.06827867960242578,0.023616598377944054,0.040607931640564865,0.044691193411233066,0.09063449971887771
Beta_1_1_sampled,"N(0,5²)",HalfCauchy_beta5,0.06877447624515232,0.025899909222312334,0.03773597975401688,0.045227414598079996,0.08880677888725352
Beta_1_1_sampled,"N(0,5²)",HalfNormal_sigma2,0.0677384471540794,0.026705120903773416,0.038743579060608546,0.04337492029563239,0.08711067906153991
Beta_2_2_sampled,"N(0,10²)",HalfCauchy_beta1,0.06324687303829502,0.02743952845327058,0.039321506083262237,0.03580476310678615,0.07564569231954699
Beta_2_2_sampled,"N(0,10²)",HalfCauchy_beta2p5,0.07052552498658882,0.025363682512927976,0.039469394127808144,0.04514207202256215,0.086814656134095
Beta_2_2_sampled,"N(0,10²)",HalfCauchy_beta5,0.07282903612452357,0.02492834037033531,0.03357329212231919,0.04170709623365432,0.08691208761975999
Beta_2_2_sampled,"N(0,10²)",HalfNormal_sigma2,0.07043439884814717,0.024700294577914783,0.03716380892841109,0.04664366980658774,0.08949954620820377
Beta_2_2_sampled,"N(0,2²)",HalfCauchy_beta1,0.06915510145102827,0.028591197759459175,0.03445350163544181,0.03650824769765304,0.07623526457104934
Beta_2_2_sampled,"N(0,2²)",HalfCauchy_beta2p5,0.07006098934328692,0.025224205245458875,0.0395862963527025,0.042539014651556295,0.08726800629530462
Beta_2_2_sampled,"N(0,2²)",HalfCauchy_beta5,0.06859333394989997,0.02227870925055586,0.049164603420566055,0.05176635411071118,0.09689504421694428
Beta_2_2_sampled,"N(0,2²)",HalfNormal_sigma2,0.07043407608137281,0.024488495268229382,0.04455433800966879,0.045496980510466134,0.08870199910177634
Beta_2_2_sampled,"N(0,5²)",HalfCauchy_beta1,0.06437398394098082,0.027996989451952725,0.03732767614727461,0.036041541065787275,0.07615845617610928
Beta_2_2_sampled,"N(0,5²)",HalfCauchy_beta2p5,0.0692143522291,0.025080069202744082,0.03838780907686146,0.04865333429163177,0.09065872523178808
Beta_2_2_sampled,"N(0,5²)",HalfCauchy_beta5,0.06731039830822783,0.026916385771307505,0.037152705628300975,0.04649382533508706,0.08891765812840546
Beta_2_2_sampled,"N(0,5²)",HalfNormal_sigma2,0.06905295624367275,0.02510568265502644,0.03522939350287502,0.045302205036063414,0.08749323492724548
