ZPrior,MuPrior,SigmaPrior,AvgRMSE,CoverageRate,MinESS,MaxRhat,Divergences,ElapsedSeconds
Beta_2_2_sampled,"N(0,10²)",HalfCauchy_beta1,0.04829167260023219,1.0,1971.0,1.0,0,74.37267994880676
Beta_2_2_sampled,"N(0,5²)",HalfCauchy_beta1,0.048379729356420945,1.0,1945.0,1.01,0,72.87803435325623
Beta_2_2_sampled,"N(0,2²)",HalfCauchy_beta1,0.048988662622926324,1.0,2396.0,1.0,0,29.67418646812439
Beta_1_1_sampled,"N(0,2²)",HalfNormal_sigma2,0.05120450494696692,1.0,2069.0,1.0,0,29.357280254364014
Beta_1_1_sampled,"N(0,5²)",HalfCauchy_beta1,0.05124676547806151,1.0,2006.0,1.0,0,29.00026774406433
Beta_1_1_sampled,"N(0,10²)",HalfCauchy_beta1,0.05135486317558665,1.0,2236.0,1.0,0,29.577301263809204
Beta_1_1_sampled,"N(0,2²)",HalfCauchy_beta1,0.051952890727393994,1.0,1716.0,1.0,0,27.997833967208862
Beta_2_2_sampled,"N(0,10²)",HalfCauchy_beta5,0.05198997049411848,1.0,2014.0,1.0,0,72.39225792884827
Beta_2_2_sampled,"N(0,5²)",HalfNormal_sigma2,0.05243669447297662,1.0,1958.0,1.0,0,72.8178939819336
Beta_1_1_sampled,"N(0,5²)",HalfNormal_sigma2,0.052734549295126734,1.0,1969.0,1.0,0,29.98765778541565
Beta_2_2_sampled,"N(0,2²)",HalfCauchy_beta2p5,0.05293570237766184,1.0,2139.0,1.0,0,72.33423447608948
Beta_1_1_sampled,"N(0,10²)",HalfCauchy_beta2p5,0.05308584157749804,1.0,2049.0,1.0,0,30.488632678985596
Beta_1_1_sampled,"N(0,5²)",HalfCauchy_beta5,0.05328891174136301,1.0,2130.0,1.0,0,29.24688458442688
Beta_2_2_sampled,"N(0,5²)",HalfCauchy_beta5,0.05335819463426576,1.0,1843.0,1.0,0,71.91147017478943
Beta_2_2_sampled,"N(0,10²)",HalfCauchy_beta2p5,0.05346306595679642,1.0,2029.0,1.0,0,72.93581581115723
Beta_1_1_sampled,"N(0,5²)",HalfCauchy_beta2p5,0.053565780550209094,1.0,2243.0,1.0,0,29.975416898727417
Beta_1_1_sampled,"N(0,2²)",HalfCauchy_beta2p5,0.05359112951848423,1.0,1784.0,1.0,0,28.068318128585815
Beta_2_2_sampled,"N(0,10²)",HalfNormal_sigma2,0.05368834367385291,1.0,1978.0,1.0,0,72.1777195930481
Beta_1_1_sampled,"N(0,10²)",HalfCauchy_beta5,0.0540652876650516,1.0,1891.0,1.0,0,29.602408409118652
Beta_2_2_sampled,"N(0,5²)",HalfCauchy_beta2p5,0.05439885800642508,1.0,2089.0,1.0,0,72.4608325958252
Beta_2_2_sampled,"N(0,2²)",HalfNormal_sigma2,0.05473517779430269,1.0,2063.0,1.0,0,73.75673031806946
Beta_1_1_sampled,"N(0,2²)",HalfCauchy_beta5,0.05507770026337946,1.0,1851.0,1.0,0,28.811687469482422
Beta_1_1_sampled,"N(0,10²)",HalfNormal_sigma2,0.05573038286425166,1.0,2156.0,1.0,0,29.51587963104248
Beta_2_2_sampled,"N(0,2²)",HalfCauchy_beta5,0.05773960898973547,1.0,2371.0,1.0,0,72.22706580162048
