SigmaPrior,Parameter,MeanPosterior,MeanRMSE,CoverageRate,MinESS,MaxRhat
HalfCauchy_beta1,mu_omega,0.43292427782673365,0.06707572217326639,1.0,3036.0,1.0
HalfCauchy_beta2p5,mu_omega,0.43092097534558427,0.06907902465441577,1.0,3069.0,1.0
HalfCauchy_beta5,mu_omega,0.43131360243424294,0.0686863975657571,1.0,2854.0,1.0
HalfNormal_sigma2,mu_omega,0.42970973316289623,0.07029026683710378,1.0,3216.0,1.0
HalfCauchy_beta1,rho,0.876956523280643,0.02695652328064302,1.0,2118.0,1.0
HalfCauchy_beta2p5,rho,0.8753222561370121,0.02532225613701204,1.0,2029.0,1.0
HalfCauchy_beta5,rho,0.8744588618580108,0.024458861858010772,1.0,2130.0,1.0
HalfNormal_sigma2,rho,0.8755672768566106,0.025567276856610605,1.0,2172.0,1.0
HalfCauchy_beta1,sigma_collateral,0.7598193329058643,0.04018066709413576,1.0,1716.0,1.0
HalfCauchy_beta2p5,sigma_collateral,0.7588169284545775,0.04118307154542259,1.0,2072.0,1.0
HalfCauchy_beta5,sigma_collateral,0.7589858174008658,0.04101418259913423,1.0,2546.0,1.0
HalfNormal_sigma2,sigma_collateral,0.7612534952453872,0.03874650475461283,1.0,2249.0,1.0
HalfCauchy_beta1,sigma_direct,1.1620560367079709,0.03794396329202895,1.0,2080.0,1.01
HalfCauchy_beta2p5,sigma_direct,1.155571347094529,0.04442865290547093,1.0,2011.0,1.0
HalfCauchy_beta5,sigma_direct,1.1533683023873464,0.04663169761265351,1.0,1843.0,1.0
HalfNormal_sigma2,sigma_direct,1.1554703482496027,0.04452965175039728,1.0,2039.0,1.0
HalfCauchy_beta1,sigma_omega,1.0780219441271106,0.07802194412711057,1.0,1945.0,1.01
HalfCauchy_beta2p5,sigma_omega,1.0875206430802409,0.08752064308024092,1.0,1784.0,1.0
HalfCauchy_beta5,sigma_omega,1.090475255187706,0.09047525518770587,1.0,1851.0,1.0
HalfNormal_sigma2,sigma_omega,1.0879743440075067,0.08797434400750677,1.0,1958.0,1.0
