Structure,Z,MuPrior,SigmaPrior,Parameter,True,PosteriorMean,Bias,MSE,RMSE,Lower95CrI,Upper95CrI,Coverage,ESS_Bulk,Rhat,Divergences,ElapsedSeconds
Independent,0.9,"N(0,2²)",HalfCauchy_beta1,mu_omega,0.5,0.3309818901484986,-0.1690181098515014,0.028567121457774194,0.1690181098515014,0.14563936746013098,0.5270374423265491,True,1997.0,1.0,0,30.1259446144104
Independent,0.9,"N(0,2²)",HalfCauchy_beta1,sigma_omega,1.0,1.2256818782790015,0.22568187827900155,0.05093231018353807,0.22568187827900155,0.717902302729428,1.5874452036204656,True,1399.0,1.0,0,30.1259446144104
Independent,0.9,"N(0,2²)",HalfCauchy_beta1,sigma_direct,1.2,1.2212339521851672,0.021233952185167215,0.00045088072540196757,0.021233952185167215,0.7298735951342716,1.62011976186633,True,1408.0,1.0,0,30.1259446144104
Independent,0.9,"N(0,2²)",HalfCauchy_beta1,sigma_collateral,0.8,0.8414558889626613,0.04145588896266128,0.0017185907296845013,0.04145588896266128,0.381834894615272,1.297665527668678,True,1542.0,1.0,0,30.1259446144104
Independent,0.9,"N(0,2²)",HalfCauchy_beta1,Z_fixed,,0.9,,,,,,,,,0,30.1259446144104
Independent,0.9,"N(0,2²)",HalfCauchy_beta2p5,mu_omega,0.5,0.3310801133067889,-0.16891988669321112,0.028533928120447284,0.16891988669321112,0.1328880933640379,0.5177951313276831,True,2177.0,1.0,0,30.10316514968872
Independent,0.9,"N(0,2²)",HalfCauchy_beta2p5,sigma_omega,1.0,1.253839557728581,0.253839557728581,0.06443452106784162,0.253839557728581,0.762268165119769,1.5932220498370966,True,1205.0,1.0,0,30.10316514968872
Independent,0.9,"N(0,2²)",HalfCauchy_beta2p5,sigma_direct,1.2,1.2040946779129658,0.004094677912965805,1.676638721093e-05,0.004094677912965805,0.7619494136830895,1.607458800795234,True,1248.0,1.01,0,30.10316514968872
Independent,0.9,"N(0,2²)",HalfCauchy_beta2p5,sigma_collateral,0.8,0.8193473175522338,0.019347317552233734,0.0003743186964669715,0.019347317552233734,0.35213454702968805,1.2633603687140773,True,1465.0,1.0,0,30.10316514968872
Independent,0.9,"N(0,2²)",HalfCauchy_beta2p5,Z_fixed,,0.9,,,,,,,,,0,30.10316514968872
Independent,0.9,"N(0,2²)",HalfCauchy_beta5,mu_omega,0.5,0.3281129370865887,-0.17188706291341133,0.029545162396999024,0.17188706291341133,0.13581674280977815,0.5226320649883681,True,2217.0,1.0,0,29.411070108413696
Independent,0.9,"N(0,2²)",HalfCauchy_beta5,sigma_omega,1.0,1.2487256242512654,0.24872562425126543,0.06186443615918168,0.24872562425126543,0.6981979467843527,1.5966316858081027,True,855.0,1.0,0,29.411070108413696
Independent,0.9,"N(0,2²)",HalfCauchy_beta5,sigma_direct,1.2,1.2020523796856664,0.0020523796856664056,4.212262374136134e-06,0.0020523796856664056,0.7528050652667615,1.6116279745318052,True,864.0,1.0,0,29.411070108413696
Independent,0.9,"N(0,2²)",HalfCauchy_beta5,sigma_collateral,0.8,0.8274317033434575,0.02743170334345746,0.0007524983483234551,0.02743170334345746,0.39489109968636027,1.2695656167937606,True,1198.0,1.0,0,29.411070108413696
Independent,0.9,"N(0,2²)",HalfCauchy_beta5,Z_fixed,,0.9,,,,,,,,,0,29.411070108413696
Independent,0.9,"N(0,2²)",HalfNormal_sigma2,mu_omega,0.5,0.3259139086038795,-0.17408609139612052,0.030305967217578427,0.17408609139612052,0.1273043909289385,0.5206022378650874,True,2037.0,1.0,0,28.90502119064331
Independent,0.9,"N(0,2²)",HalfNormal_sigma2,sigma_omega,1.0,1.2482060497499392,0.2482060497499392,0.0616062431324693,0.2482060497499392,0.7442123985050858,1.5938228416287075,True,1156.0,1.0,0,28.90502119064331
Independent,0.9,"N(0,2²)",HalfNormal_sigma2,sigma_direct,1.2,1.2093989370235931,0.009398937023593179,8.834001717347061e-05,0.009398937023593179,0.7709176683248823,1.601804949021129,True,1187.0,1.0,0,28.90502119064331
Independent,0.9,"N(0,2²)",HalfNormal_sigma2,sigma_collateral,0.8,0.8280672051428218,0.028067205142821794,0.0007877680045292421,0.028067205142821794,0.3729244663912537,1.2752129792269205,True,1420.0,1.0,0,28.90502119064331
Independent,0.9,"N(0,2²)",HalfNormal_sigma2,Z_fixed,,0.9,,,,,,,,,0,28.90502119064331
Independent,0.9,"N(0,5²)",HalfCauchy_beta1,mu_omega,0.5,0.329423660683217,-0.170576339316783,0.029096287534714292,0.170576339316783,0.1437140273465046,0.5174149155889721,True,2433.0,1.0,0,27.897541522979736
Independent,0.9,"N(0,5²)",HalfCauchy_beta1,sigma_omega,1.0,1.2300394029510757,0.23003940295107572,0.05291812691008738,0.23003940295107572,0.6789270028653815,1.5817276052912244,True,863.0,1.01,0,27.897541522979736
Independent,0.9,"N(0,5²)",HalfCauchy_beta1,sigma_direct,1.2,1.218693624228459,0.018693624228458994,0.0003494515867948291,0.018693624228458994,0.7720417685640831,1.6310923651109641,True,956.0,1.01,0,27.897541522979736
Independent,0.9,"N(0,5²)",HalfCauchy_beta1,sigma_collateral,0.8,0.829406991412609,0.02940699141260894,0.000864771143941256,0.02940699141260894,0.3439691308096745,1.3016196436026732,True,1079.0,1.01,0,27.897541522979736
Independent,0.9,"N(0,5²)",HalfCauchy_beta1,Z_fixed,,0.9,,,,,,,,,0,27.897541522979736
Independent,0.9,"N(0,5²)",HalfCauchy_beta2p5,mu_omega,0.5,0.3254695836596186,-0.1745304163403814,0.030460866227946876,0.1745304163403814,0.13474301434454133,0.5133218973795779,True,2428.0,1.0,0,27.824026584625244
Independent,0.9,"N(0,5²)",HalfCauchy_beta2p5,sigma_omega,1.0,1.2532030938566212,0.2532030938566212,0.06411180673856492,0.2532030938566212,0.6952148709769085,1.6068885627991227,True,889.0,1.0,0,27.824026584625244
Independent,0.9,"N(0,5²)",HalfCauchy_beta2p5,sigma_direct,1.2,1.203750771617996,0.003750771617996085,1.4068287730364969e-05,0.003750771617996085,0.7639732574851751,1.6229306288775787,True,948.0,1.0,0,27.824026584625244
Independent,0.9,"N(0,5²)",HalfCauchy_beta2p5,sigma_collateral,0.8,0.8171971059252051,0.01719710592520507,0.0002957404522027233,0.01719710592520507,0.33985912046612915,1.2856869360291192,True,1033.0,1.01,0,27.824026584625244
Independent,0.9,"N(0,5²)",HalfCauchy_beta2p5,Z_fixed,,0.9,,,,,,,,,0,27.824026584625244
Independent,0.9,"N(0,5²)",HalfCauchy_beta5,mu_omega,0.5,0.32868963234101006,-0.17131036765898994,0.029347242067458305,0.17131036765898994,0.13152229506146212,0.5281668976709233,True,1989.0,1.0,0,26.92010521888733
Independent,0.9,"N(0,5²)",HalfCauchy_beta5,sigma_omega,1.0,1.2609875014124141,0.2609875014124141,0.06811447589349486,0.2609875014124141,0.7895901695989097,1.6071567352793372,True,1114.0,1.0,0,26.92010521888733
Independent,0.9,"N(0,5²)",HalfCauchy_beta5,sigma_direct,1.2,1.196058948157606,-0.003941051842393906,1.5531889624436398e-05,0.003941051842393906,0.7345211907901746,1.5914206496115746,True,1225.0,1.0,0,26.92010521888733
Independent,0.9,"N(0,5²)",HalfCauchy_beta5,sigma_collateral,0.8,0.8142184277576839,0.014218427757683894,0.00020216368790047584,0.014218427757683894,0.3655113420899409,1.2572902002061752,True,1393.0,1.0,0,26.92010521888733
Independent,0.9,"N(0,5²)",HalfCauchy_beta5,Z_fixed,,0.9,,,,,,,,,0,26.92010521888733
Independent,0.9,"N(0,5²)",HalfNormal_sigma2,mu_omega,0.5,0.3248803236535716,-0.1751196763464284,0.03066690104367783,0.1751196763464284,0.1372586141668793,0.5148247816233537,True,2307.0,1.0,0,27.41477131843567
Independent,0.9,"N(0,5²)",HalfNormal_sigma2,sigma_omega,1.0,1.2359379111232427,0.2359379111232427,0.05566669790519917,0.2359379111232427,0.7098515290556485,1.5915112890767247,True,1013.0,1.0,0,27.41477131843567
Independent,0.9,"N(0,5²)",HalfNormal_sigma2,sigma_direct,1.2,1.2154059204847392,0.01540592048473921,0.00023734238598210723,0.01540592048473921,0.7602680464019748,1.6144307816287997,True,1155.0,1.0,0,27.41477131843567
Independent,0.9,"N(0,5²)",HalfNormal_sigma2,sigma_collateral,0.8,0.82748431672733,0.027484316727329983,0.0007553876659681907,0.027484316727329983,0.36116008760823076,1.2876843793624737,True,988.0,1.0,0,27.41477131843567
Independent,0.9,"N(0,5²)",HalfNormal_sigma2,Z_fixed,,0.9,,,,,,,,,0,27.41477131843567
