Z,MuPrior,SigmaPrior,mu_omega,sigma_collateral,sigma_direct,sigma_omega
0.5,"N(0,10²)",HalfCauchy_beta1,0.39343504002403595,0.8315807756730091,1.242012396583449,1.2149514014315859
0.5,"N(0,10²)",HalfCauchy_beta2p5,0.3935089554361557,0.7952832208724858,1.220594979888191,1.2504305701958138
0.5,"N(0,10²)",HalfCauchy_beta5,0.39519263166038354,0.8493876690471455,1.259783220235293,1.1874030789473933
0.5,"N(0,10²)",HalfNormal_sigma2,0.39691518412708116,0.8082171823238834,1.2286683577582997,1.2289576078991777
0.5,"N(0,2²)",HalfCauchy_beta1,0.3962616653981414,0.8193498381133861,1.2361968934115541,1.2236941986159975
0.5,"N(0,2²)",HalfCauchy_beta2p5,0.39319549249747215,0.8056280397088622,1.2260773476046565,1.2422045564224231
0.5,"N(0,2²)",HalfCauchy_beta5,0.3940848072038057,0.782794436795666,1.2160148014122063,1.2586456033295204
0.5,"N(0,2²)",HalfNormal_sigma2,0.39804051897846554,0.7996897897098052,1.2248058461895552,1.2452136854556353
0.5,"N(0,5²)",HalfCauchy_beta1,0.3958307923446356,0.8428318869584608,1.2539609998790775,1.192709644126354
0.5,"N(0,5²)",HalfCauchy_beta2p5,0.3940318820825922,0.8078744444758414,1.2280449472032058,1.2395527071646624
0.5,"N(0,5²)",HalfCauchy_beta5,0.39477811810084107,0.8094800805727708,1.2309148657243645,1.2363761303678003
0.5,"N(0,5²)",HalfNormal_sigma2,0.3986413819279092,0.8037978763378769,1.2277581146512466,1.2433996542358055
0.7,"N(0,10²)",HalfCauchy_beta1,0.368633347943894,0.8428656192302895,1.2475550791392016,1.2129956103964865
0.7,"N(0,10²)",HalfCauchy_beta2p5,0.36699385447746524,0.8153047012679188,1.2219048841753608,1.2391083509532121
0.7,"N(0,10²)",HalfCauchy_beta5,0.3680689230100643,0.8091814652090702,1.2141328876895656,1.2462126740056716
0.7,"N(0,10²)",HalfNormal_sigma2,0.3717522807074048,0.800941456797145,1.218448809132521,1.247938887369835
0.7,"N(0,2²)",HalfCauchy_beta1,0.36879102739547864,0.8358305106979987,1.2455352773985036,1.2119735959800582
0.7,"N(0,2²)",HalfCauchy_beta2p5,0.367907509550482,0.8169084328452599,1.226857374495773,1.2324458884896567
0.7,"N(0,2²)",HalfCauchy_beta5,0.36821057395389933,0.8028934412655611,1.2112771278458423,1.249231311104304
0.7,"N(0,2²)",HalfNormal_sigma2,0.3687025539753994,0.8124322680243804,1.220274664807163,1.2376182184867095
0.7,"N(0,5²)",HalfCauchy_beta1,0.37196321419785455,0.8445664999845441,1.2474424053393225,1.2122933270723437
0.7,"N(0,5²)",HalfCauchy_beta2p5,0.3666324108058583,0.8135225172568292,1.2220057713384787,1.2348809729302996
0.7,"N(0,5²)",HalfCauchy_beta5,0.36751773514713826,0.8100517234597898,1.2155739508736287,1.250117002195203
0.7,"N(0,5²)",HalfNormal_sigma2,0.36937483490146916,0.7971366234085853,1.2115759737678153,1.2536898673273718
0.9,"N(0,10²)",HalfCauchy_beta1,0.327871064217959,0.8247098147110651,1.2160640831584917,1.2336843835366584
0.9,"N(0,10²)",HalfCauchy_beta2p5,0.32759027804490176,0.8232007916432708,1.210856272769358,1.2459523926191565
0.9,"N(0,10²)",HalfCauchy_beta5,0.32842493015649504,0.8108639874774851,1.1907660452403357,1.2655137695359484
0.9,"N(0,10²)",HalfNormal_sigma2,0.32863769111954777,0.8146387759771855,1.2080157536688338,1.2479870163873448
0.9,"N(0,2²)",HalfCauchy_beta1,0.3309818901484986,0.8414558889626613,1.2212339521851672,1.2256818782790015
0.9,"N(0,2²)",HalfCauchy_beta2p5,0.3310801133067889,0.8193473175522338,1.2040946779129658,1.253839557728581
0.9,"N(0,2²)",HalfCauchy_beta5,0.3281129370865887,0.8274317033434575,1.2020523796856664,1.2487256242512654
0.9,"N(0,2²)",HalfNormal_sigma2,0.3259139086038795,0.8280672051428218,1.2093989370235931,1.2482060497499392
0.9,"N(0,5²)",HalfCauchy_beta1,0.329423660683217,0.829406991412609,1.218693624228459,1.2300394029510757
0.9,"N(0,5²)",HalfCauchy_beta2p5,0.3254695836596186,0.8171971059252051,1.203750771617996,1.2532030938566212
0.9,"N(0,5²)",HalfCauchy_beta5,0.32868963234101006,0.8142184277576839,1.196058948157606,1.2609875014124141
0.9,"N(0,5²)",HalfNormal_sigma2,0.3248803236535716,0.82748431672733,1.2154059204847392,1.2359379111232427
