Z,MuPrior,SigmaPrior,AvgRMSE,CoverageRate,MinESS,MaxRhat,Divergences,ElapsedSeconds
0.5,"N(0,10²)",HalfNormal_sigma2,0.09223199096356993,1.0,548.0,1.01,0,37.25149440765381
0.5,"N(0,2²)",HalfNormal_sigma2,0.09307230573922996,1.0,1304.0,1.0,0,34.644858837127686
0.5,"N(0,5²)",HalfNormal_sigma2,0.09407856582425494,1.0,1342.0,1.0,0,37.06341052055359
0.5,"N(0,2²)",HalfCauchy_beta2p5,0.09517861280961741,1.0,1386.0,1.0,0,36.41871476173401
0.5,"N(0,5²)",HalfCauchy_beta2p5,0.09536005419027935,1.0,1082.0,1.0,0,35.379565715789795
0.5,"N(0,5²)",HalfCauchy_beta5,0.09549823964102361,1.0,898.0,1.0,0,35.51396322250366
0.5,"N(0,10²)",HalfCauchy_beta2p5,0.09555834344384084,1.0,1019.0,1.0,0,35.91237831115723
0.5,"N(0,2²)",HalfCauchy_beta1,0.09574481618569909,1.0,964.0,1.0,0,37.23860287666321
0.5,"N(0,5²)",HalfCauchy_beta1,0.09841793465481419,1.0,713.0,1.01,0,36.946414947509766
0.5,"N(0,10²)",HalfCauchy_beta1,0.09877738341600203,1.0,1115.0,1.0,0,37.37755107879639
0.7,"N(0,2²)",HalfCauchy_beta5,0.09879782656545202,1.0,903.0,1.0,0,30.40326976776123
0.7,"N(0,10²)",HalfNormal_sigma2,0.09889421814802403,1.0,928.0,1.0,0,32.74859809875488
0.5,"N(0,2²)",HalfCauchy_beta5,0.09944529018556378,1.0,1335.0,1.0,0,35.73590970039368
0.7,"N(0,5²)",HalfNormal_sigma2,0.09968859569628319,1.0,1164.0,1.0,0,33.08482336997986
0.5,"N(0,10²)",HalfCauchy_beta5,0.10034533414236205,1.0,15.0,1.18,91,34.028534173965454
0.7,"N(0,10²)",HalfCauchy_beta5,0.10036452597356078,1.0,1056.0,1.0,0,32.72382402420044
0.7,"N(0,2²)",HalfNormal_sigma2,0.10040564933571336,1.0,964.0,1.01,0,29.666303396224976
0.7,"N(0,5²)",HalfCauchy_beta2p5,0.1009442126799373,1.0,816.0,1.01,0,35.18537211418152
0.7,"N(0,5²)",HalfCauchy_beta5,0.10205623534537084,1.0,1354.0,1.0,0,31.447994709014893
0.7,"N(0,2²)",HalfCauchy_beta2p5,0.1020760465700519,1.0,638.0,1.0,0,30.23757791519165
0.7,"N(0,10²)",HalfCauchy_beta2p5,0.10233102047975662,1.0,968.0,1.01,0,32.75073480606079
0.7,"N(0,2²)",HalfCauchy_beta1,0.10613708917027045,1.0,1007.0,1.01,0,29.563382387161255
0.7,"N(0,5²)",HalfCauchy_beta1,0.10808475454958895,1.0,1152.0,1.0,0,33.46268367767334
0.7,"N(0,10²)",HalfCauchy_beta1,0.10869574020552089,1.0,914.0,1.0,0,34.29704141616821
0.9,"N(0,10²)",HalfNormal_sigma2,0.11050096372845408,1.0,1080.0,1.0,0,29.49539828300476
0.9,"N(0,2²)",HalfCauchy_beta2p5,0.11155035997174792,1.0,1205.0,1.01,0,30.10316514968872
0.9,"N(0,10²)",HalfCauchy_beta1,0.11164680429706406,1.0,902.0,1.0,0,30.285974502563477
0.9,"N(0,5²)",HalfCauchy_beta2p5,0.11217034693505094,1.0,889.0,1.01,0,27.824026584625244
0.9,"N(0,5²)",HalfCauchy_beta1,0.11217908947723167,1.0,863.0,1.01,0,27.897541522979736
0.9,"N(0,2²)",HalfCauchy_beta5,0.11252419254845016,1.0,855.0,1.0,0,29.411070108413696
0.9,"N(0,5²)",HalfCauchy_beta5,0.11261433716787046,1.0,1114.0,1.0,0,26.92010521888733
0.9,"N(0,10²)",HalfCauchy_beta2p5,0.11310479474672085,1.0,937.0,1.01,0,30.085963010787964
0.9,"N(0,5²)",HalfNormal_sigma2,0.11348695617043507,1.0,988.0,1.0,0,27.41477131843567
0.9,"N(0,10²)",HalfCauchy_beta5,0.11429669540415067,1.0,1110.0,1.0,0,28.98588275909424
0.9,"N(0,2²)",HalfCauchy_beta1,0.11434745731958286,1.0,1399.0,1.0,0,30.1259446144104
0.9,"N(0,2²)",HalfNormal_sigma2,0.11493957082811868,1.0,1156.0,1.0,0,28.90502119064331
