SigmaPrior,Parameter,MeanPosterior,MeanRMSE,CoverageRate,MinESS,MaxRhat
HalfCauchy_beta1,mu_omega,0.3647990780393016,0.13520092196069836,1.0,1882.0,1.0
HalfCauchy_beta2p5,mu_omega,0.3629344533179261,0.1370655466820739,1.0,1822.0,1.0
HalfCauchy_beta5,mu_omega,0.36367558762891394,0.136324412371086,1.0,655.0,1.01
HalfNormal_sigma2,mu_omega,0.36476207533274757,0.13523792466725243,1.0,2037.0,1.0
HalfCauchy_beta1,sigma_collateral,0.834733091749336,0.034733091749335934,1.0,713.0,1.01
HalfCauchy_beta2p5,sigma_collateral,0.8126962857275452,0.01374445886699279,1.0,718.0,1.01
HalfCauchy_beta5,sigma_collateral,0.8129225483254033,0.016746006815255288,1.0,15.0,1.18
HalfNormal_sigma2,sigma_collateral,0.8102672771610016,0.010972518690248043,1.0,582.0,1.01
HalfCauchy_beta1,sigma_direct,1.2365216345914696,0.03652163459146962,1.0,873.0,1.01
HalfCauchy_beta2p5,sigma_direct,1.218243003000665,0.018243003000665083,1.0,638.0,1.01
HalfCauchy_beta5,sigma_direct,1.2151749140960564,0.018102693340958362,1.0,17.0,1.15
HalfNormal_sigma2,sigma_direct,1.2182613752759741,0.018261375275974157,1.0,699.0,1.01
HalfCauchy_beta1,sigma_omega,1.217558160265507,0.21755816026550684,1.0,748.0,1.01
HalfCauchy_beta2p5,sigma_omega,1.2435131211511585,0.24351312115115853,1.0,639.0,1.01
HalfCauchy_beta5,sigma_omega,1.244801410572169,0.24480141057216898,1.0,15.0,1.17
HalfNormal_sigma2,sigma_omega,1.2432165442261178,0.24321654422611794,1.0,548.0,1.01
