Structure,ZPrior,MuPrior,SigmaPrior,Parameter,True,PosteriorMean,Bias,MSE,RMSE,Lower95CrI,Upper95CrI,Coverage,ESS_Bulk,Rhat,Divergences,ElapsedSeconds
Independent,Beta_1_1_constrained,"N(0,2²)",HalfCauchy_beta1,Z,,0.947528937013058,,,,0.9412466493548081,0.9499500081497614,,1997.0,1.0,0,39.14245104789734
Independent,Beta_1_1_constrained,"N(0,2²)",HalfCauchy_beta2p5,Z,,0.9476046575168305,,,,0.9411425989477403,0.9499494889397861,,2096.0,1.0,0,37.55477809906006
Independent,Beta_1_1_constrained,"N(0,2²)",HalfCauchy_beta5,Z,,0.9475610872589665,,,,0.9413789993400044,0.9499434420300595,,1873.0,1.0,0,38.76714754104614
Independent,Beta_1_1_constrained,"N(0,2²)",HalfNormal_sigma2,Z,,0.9474619937083334,,,,0.9405257562955471,0.9499439048312053,,2029.0,1.0,0,36.41990828514099
Independent,Beta_1_1_constrained,"N(0,5²)",HalfCauchy_beta1,Z,,0.9475354357247093,,,,0.9408975513379115,0.949924220660517,,2205.0,1.0,0,42.09103465080261
Independent,Beta_1_1_constrained,"N(0,5²)",HalfCauchy_beta2p5,Z,,0.9475269297451379,,,,0.9410274289960278,0.9499337671451968,,2276.0,1.0,0,37.74464464187622
Independent,Beta_1_1_constrained,"N(0,5²)",HalfCauchy_beta5,Z,,0.9475243968949432,,,,0.9408443110955437,0.9499600306806483,,2015.0,1.0,0,36.34021878242493
Independent,Beta_1_1_constrained,"N(0,5²)",HalfNormal_sigma2,Z,,0.9475784689464312,,,,0.9411259363291755,0.9499461447122468,,2197.0,1.0,0,38.673030376434326
Independent,Beta_1_1_constrained,"N(0,10²)",HalfCauchy_beta1,Z,,0.9475743404230428,,,,0.9408846316072473,0.9499593589402391,,1848.0,1.0,0,45.20394587516785
Independent,Beta_1_1_constrained,"N(0,10²)",HalfCauchy_beta2p5,Z,,0.947523625756975,,,,0.9410494967445472,0.9499368749257637,,2372.0,1.0,0,41.983574867248535
Independent,Beta_1_1_constrained,"N(0,10²)",HalfCauchy_beta5,Z,,0.9474733812951481,,,,0.940515457765899,0.9499386901625466,,2171.0,1.0,0,39.88307023048401
Independent,Beta_1_1_constrained,"N(0,10²)",HalfNormal_sigma2,Z,,0.9476078872387538,,,,0.9411376831721007,0.9499439961690974,,1722.0,1.0,0,42.18954396247864
Independent,Beta_2_2_constrained,"N(0,2²)",HalfCauchy_beta1,Z,,0.9450027052824489,,,,0.9360327820663565,0.9494177051111058,,2207.0,1.0,0,44.95133113861084
Independent,Beta_2_2_constrained,"N(0,2²)",HalfCauchy_beta2p5,Z,,0.9451863978261169,,,,0.9364949092506548,0.9494845921730103,,2267.0,1.0,0,43.20681285858154
Independent,Beta_2_2_constrained,"N(0,2²)",HalfCauchy_beta5,Z,,0.9451609913081992,,,,0.9365024202690692,0.9493978896812202,,2660.0,1.0,0,41.98185634613037
Independent,Beta_2_2_constrained,"N(0,2²)",HalfNormal_sigma2,Z,,0.9449957934143612,,,,0.9361055398189703,0.9493578048780542,,2635.0,1.0,0,39.49496245384216
Independent,Beta_2_2_constrained,"N(0,5²)",HalfCauchy_beta1,Z,,0.9451266483144914,,,,0.9361713524746113,0.9495179882459536,,1846.0,1.0,0,46.187825202941895
Independent,Beta_2_2_constrained,"N(0,5²)",HalfCauchy_beta2p5,Z,,0.9451140996298011,,,,0.936517007875428,0.9494014105398135,,1885.0,1.0,0,41.96958661079407
Independent,Beta_2_2_constrained,"N(0,5²)",HalfCauchy_beta5,Z,,0.9451472939063817,,,,0.9361314527261387,0.9494801826588907,,2254.0,1.0,0,41.722339153289795
Independent,Beta_2_2_constrained,"N(0,5²)",HalfNormal_sigma2,Z,,0.9451534135612838,,,,0.9358656033778101,0.9494634531899917,,2552.0,1.0,0,40.35825729370117
Independent,Beta_2_2_constrained,"N(0,10²)",HalfCauchy_beta1,Z,,0.9451089295767126,,,,0.9361766830974845,0.9494526796022236,,2055.0,1.0,0,45.330443143844604
Independent,Beta_2_2_constrained,"N(0,10²)",HalfCauchy_beta2p5,Z,,0.9451905656637445,,,,0.9363634494729689,0.9494845784365327,,1868.0,1.0,0,42.469682931900024
Independent,Beta_2_2_constrained,"N(0,10²)",HalfCauchy_beta5,Z,,0.9451611450661334,,,,0.93624040900115,0.949492204672145,,2184.0,1.0,0,40.7860369682312
Independent,Beta_2_2_constrained,"N(0,10²)",HalfNormal_sigma2,Z,,0.9451503273472779,,,,0.9361558440131069,0.949511831294694,,1997.0,1.0,0,39.937647104263306
