Structure,ZPrior,MuPrior,SigmaPrior,Parameter,True,PosteriorMean,Bias,MSE,RMSE,Lower95CrI,Upper95CrI,Coverage,ESS_Bulk,Rhat,Divergences,ElapsedSeconds
Independent,Beta_1_1_constrained,"N(0,2²)",HalfCauchy_beta1,mu_omega,0.5,0.3166530610064965,-0.18334693899350352,0.0336161000382875,0.18334693899350352,0.11987239171854841,0.5117799370250465,True,2499.0,1.0,0,39.14245104789734
Independent,Beta_1_1_constrained,"N(0,2²)",HalfCauchy_beta1,sigma_omega,1.0,1.2235360952367214,0.22353609523672135,0.04996838587368056,0.22353609523672135,0.6327738945808142,1.6152450448868503,True,1275.0,1.0,0,39.14245104789734
Independent,Beta_1_1_constrained,"N(0,2²)",HalfCauchy_beta1,sigma_direct,1.2,1.2216558724755937,0.02165587247559375,0.000468976812679179,0.02165587247559375,0.7378896975175399,1.6506163931016968,True,1300.0,1.0,0,39.14245104789734
Independent,Beta_1_1_constrained,"N(0,2²)",HalfCauchy_beta1,sigma_collateral,0.8,0.836011865792037,0.03601186579203697,0.0012968544778236824,0.03601186579203697,0.3734935409246991,1.2998094531076458,True,1608.0,1.0,0,39.14245104789734
Independent,Beta_1_1_constrained,"N(0,2²)",HalfCauchy_beta1,Z,,0.947528937013058,,,,0.9412466493548081,0.9499500081497614,,1997.0,1.0,0,39.14245104789734
Independent,Beta_1_1_constrained,"N(0,2²)",HalfCauchy_beta2p5,mu_omega,0.5,0.3116015274349042,-0.1883984725650958,0.03549398446486115,0.1883984725650958,0.11796982930333508,0.5037846201244538,True,2752.0,1.0,0,37.55477809906006
Independent,Beta_1_1_constrained,"N(0,2²)",HalfCauchy_beta2p5,sigma_omega,1.0,1.2514853936845602,0.25148539368456024,0.06324490323667825,0.25148539368456024,0.6806124304843074,1.6220614436805725,True,1118.0,1.0,0,37.55477809906006
Independent,Beta_1_1_constrained,"N(0,2²)",HalfCauchy_beta2p5,sigma_direct,1.2,1.2013476779254195,0.0013476779254195659,1.816235790663185e-06,0.0013476779254195659,0.7328121576953542,1.621440560811699,True,1194.0,1.0,0,37.55477809906006
Independent,Beta_1_1_constrained,"N(0,2²)",HalfCauchy_beta2p5,sigma_collateral,0.8,0.8117140419902861,0.011714041990286028,0.00013721877975018425,0.011714041990286028,0.2516694855261395,1.2909112193716066,True,867.0,1.0,0,37.55477809906006
Independent,Beta_1_1_constrained,"N(0,2²)",HalfCauchy_beta2p5,Z,,0.9476046575168305,,,,0.9411425989477403,0.9499494889397861,,2096.0,1.0,0,37.55477809906006
Independent,Beta_1_1_constrained,"N(0,2²)",HalfCauchy_beta5,mu_omega,0.5,0.31403553235690074,-0.18596446764309926,0.03458278322578131,0.18596446764309926,0.11948804844563993,0.5042572287134818,True,2539.0,1.0,0,38.76714754104614
Independent,Beta_1_1_constrained,"N(0,2²)",HalfCauchy_beta5,sigma_omega,1.0,1.2635377500904044,0.26353775009040437,0.06945214572271242,0.26353775009040437,0.6979664189160167,1.6352781811203965,True,1181.0,1.0,0,38.76714754104614
Independent,Beta_1_1_constrained,"N(0,2²)",HalfCauchy_beta5,sigma_direct,1.2,1.1868817343724527,-0.013118265627547254,0.00017208889307488776,0.013118265627547254,0.6900831601928399,1.6152902898487715,True,1281.0,1.0,0,38.76714754104614
Independent,Beta_1_1_constrained,"N(0,2²)",HalfCauchy_beta5,sigma_collateral,0.8,0.8079748549223711,0.007974854922371044,6.359831103286567e-05,0.007974854922371044,0.3104898635494279,1.2671054040744532,True,1113.0,1.0,0,38.76714754104614
Independent,Beta_1_1_constrained,"N(0,2²)",HalfCauchy_beta5,Z,,0.9475610872589665,,,,0.9413789993400044,0.9499434420300595,,1873.0,1.0,0,38.76714754104614
Independent,Beta_1_1_constrained,"N(0,2²)",HalfNormal_sigma2,mu_omega,0.5,0.3140277559065598,-0.1859722440934402,0.03458567557315011,0.1859722440934402,0.12062883175414157,0.5097225696350066,True,2964.0,1.0,0,36.41990828514099
Independent,Beta_1_1_constrained,"N(0,2²)",HalfNormal_sigma2,sigma_omega,1.0,1.234979359706795,0.23497935970679507,0.05521529948821539,0.23497935970679507,0.698086923659619,1.6099830400024533,True,1390.0,1.0,0,36.41990828514099
Independent,Beta_1_1_constrained,"N(0,2²)",HalfNormal_sigma2,sigma_direct,1.2,1.21749633143592,0.01749633143592,0.00030612161371556233,0.01749633143592,0.7703580742529391,1.6226159689940338,True,1508.0,1.0,0,36.41990828514099
Independent,Beta_1_1_constrained,"N(0,2²)",HalfNormal_sigma2,sigma_collateral,0.8,0.8348782403059659,0.03487824030596587,0.001216491646840702,0.03487824030596587,0.38682794679156124,1.2894180316211477,True,1889.0,1.0,0,36.41990828514099
Independent,Beta_1_1_constrained,"N(0,2²)",HalfNormal_sigma2,Z,,0.9474619937083334,,,,0.9405257562955471,0.9499439048312053,,2029.0,1.0,0,36.41990828514099
Independent,Beta_1_1_constrained,"N(0,5²)",HalfCauchy_beta1,mu_omega,0.5,0.31281048933093014,-0.18718951066906986,0.03503991290452582,0.18718951066906986,0.12335359362942327,0.5103125695574476,True,2258.0,1.0,0,42.09103465080261
Independent,Beta_1_1_constrained,"N(0,5²)",HalfCauchy_beta1,sigma_omega,1.0,1.2121212133071835,0.21212121330718348,0.04499540913491163,0.21212121330718348,0.5547014498508178,1.6073780184365751,True,1143.0,1.0,0,42.09103465080261
Independent,Beta_1_1_constrained,"N(0,5²)",HalfCauchy_beta1,sigma_direct,1.2,1.2307224433684723,0.030722443368472296,0.0009438685265289873,0.030722443368472296,0.760509303991679,1.6697256513531071,True,1195.0,1.0,0,42.09103465080261
Independent,Beta_1_1_constrained,"N(0,5²)",HalfCauchy_beta1,sigma_collateral,0.8,0.8340013778535499,0.03400137785354984,0.0011560936959398695,0.03400137785354984,0.3213459406348263,1.3105201107978321,True,1289.0,1.0,0,42.09103465080261
Independent,Beta_1_1_constrained,"N(0,5²)",HalfCauchy_beta1,Z,,0.9475354357247093,,,,0.9408975513379115,0.949924220660517,,2205.0,1.0,0,42.09103465080261
Independent,Beta_1_1_constrained,"N(0,5²)",HalfCauchy_beta2p5,mu_omega,0.5,0.3157298650384688,-0.18427013496153122,0.03395548263874093,0.18427013496153122,0.12165598700151,0.51200320668194,True,2368.0,1.0,0,37.74464464187622
Independent,Beta_1_1_constrained,"N(0,5²)",HalfCauchy_beta2p5,sigma_omega,1.0,1.2469064117160442,0.24690641171604422,0.06096277614649274,0.24690641171604422,0.6691685813051724,1.6078375618290772,True,1063.0,1.01,0,37.74464464187622
Independent,Beta_1_1_constrained,"N(0,5²)",HalfCauchy_beta2p5,sigma_direct,1.2,1.204962444046588,0.004962444046588077,2.462585091551745e-05,0.004962444046588077,0.7453647586325955,1.6128305192241625,True,1203.0,1.01,0,37.74464464187622
Independent,Beta_1_1_constrained,"N(0,5²)",HalfCauchy_beta2p5,sigma_collateral,0.8,0.8175655505505411,0.017565550550541098,0.0003085485661436147,0.017565550550541098,0.3512207826488487,1.2690941567012373,True,1331.0,1.01,0,37.74464464187622
Independent,Beta_1_1_constrained,"N(0,5²)",HalfCauchy_beta2p5,Z,,0.9475269297451379,,,,0.9410274289960278,0.9499337671451968,,2276.0,1.0,0,37.74464464187622
Independent,Beta_1_1_constrained,"N(0,5²)",HalfCauchy_beta5,mu_omega,0.5,0.3153078416224607,-0.18469215837753927,0.03411119336615405,0.18469215837753927,0.11426471149881408,0.5118092672017109,True,2460.0,1.0,0,36.34021878242493
Independent,Beta_1_1_constrained,"N(0,5²)",HalfCauchy_beta5,sigma_omega,1.0,1.2499527193275035,0.24995271932750351,0.062476361899213746,0.24995271932750351,0.7053920387690855,1.628322749475673,True,1370.0,1.0,0,36.34021878242493
Independent,Beta_1_1_constrained,"N(0,5²)",HalfCauchy_beta5,sigma_direct,1.2,1.20222840689857,0.002228406898570068,4.965797305594669e-06,0.002228406898570068,0.7196285253337513,1.6230829513103024,True,1366.0,1.0,0,36.34021878242493
Independent,Beta_1_1_constrained,"N(0,5²)",HalfCauchy_beta5,sigma_collateral,0.8,0.8228636508591347,0.022863650859134665,0.0005227465306084094,0.022863650859134665,0.3430505255458669,1.2730361580162706,True,1626.0,1.01,0,36.34021878242493
Independent,Beta_1_1_constrained,"N(0,5²)",HalfCauchy_beta5,Z,,0.9475243968949432,,,,0.9408443110955437,0.9499600306806483,,2015.0,1.0,0,36.34021878242493
Independent,Beta_1_1_constrained,"N(0,5²)",HalfNormal_sigma2,mu_omega,0.5,0.31452985639488645,-0.18547014360511355,0.03439917416890144,0.18547014360511355,0.11612605432019603,0.5056496989389221,True,2381.0,1.0,0,38.673030376434326
Independent,Beta_1_1_constrained,"N(0,5²)",HalfNormal_sigma2,sigma_omega,1.0,1.2493589485358183,0.2493589485358183,0.06217988521488888,0.2493589485358183,0.7317771130995417,1.6275290921743606,True,1392.0,1.0,0,38.673030376434326
Independent,Beta_1_1_constrained,"N(0,5²)",HalfNormal_sigma2,sigma_direct,1.2,1.2048335222781383,0.00483352227813838,2.3362937613260037e-05,0.00483352227813838,0.7284852470708608,1.6103202210755914,True,1468.0,1.0,0,38.673030376434326
Independent,Beta_1_1_constrained,"N(0,5²)",HalfNormal_sigma2,sigma_collateral,0.8,0.8217834411561453,0.021783441156145278,0.0004745183086032439,0.021783441156145278,0.360619153171102,1.2914010464141974,True,1484.0,1.0,0,38.673030376434326
Independent,Beta_1_1_constrained,"N(0,5²)",HalfNormal_sigma2,Z,,0.9475784689464312,,,,0.9411259363291755,0.9499461447122468,,2197.0,1.0,0,38.673030376434326
Independent,Beta_1_1_constrained,"N(0,10²)",HalfCauchy_beta1,mu_omega,0.5,0.3103063738529346,-0.18969362614706542,0.03598367180082262,0.18969362614706542,0.11762856621236929,0.5043609283410736,True,2554.0,1.0,0,45.20394587516785
Independent,Beta_1_1_constrained,"N(0,10²)",HalfCauchy_beta1,sigma_omega,1.0,1.1974981987588063,0.19749819875880625,0.03900553851297294,0.19749819875880625,0.38303665105354356,1.604966816212193,True,616.0,1.01,0,45.20394587516785
Independent,Beta_1_1_constrained,"N(0,10²)",HalfCauchy_beta1,sigma_direct,1.2,1.2333183813185675,0.03331838131856757,0.0011101145336894723,0.03331838131856757,0.7450696381004692,1.6844192841233607,True,740.0,1.01,0,45.20394587516785
Independent,Beta_1_1_constrained,"N(0,10²)",HalfCauchy_beta1,sigma_collateral,0.8,0.8482445898425838,0.04824458984258373,0.002327540449079133,0.04824458984258373,0.3641579078107812,1.348559437314011,True,985.0,1.01,0,45.20394587516785
Independent,Beta_1_1_constrained,"N(0,10²)",HalfCauchy_beta1,Z,,0.9475743404230428,,,,0.9408846316072473,0.9499593589402391,,1848.0,1.0,0,45.20394587516785
Independent,Beta_1_1_constrained,"N(0,10²)",HalfCauchy_beta2p5,mu_omega,0.5,0.3160592820139667,-0.1839407179860333,0.033834187733217426,0.1839407179860333,0.12172190018822444,0.5088970523031535,True,2489.0,1.0,0,41.983574867248535
Independent,Beta_1_1_constrained,"N(0,10²)",HalfCauchy_beta2p5,sigma_omega,1.0,1.2558908298616989,0.25589082986169887,0.06548011680730892,0.25589082986169887,0.7251981780306985,1.6158840251052415,True,1294.0,1.0,0,41.983574867248535
Independent,Beta_1_1_constrained,"N(0,10²)",HalfCauchy_beta2p5,sigma_direct,1.2,1.1993002840431135,-0.0006997159568864486,4.896024203215184e-07,0.0006997159568864486,0.7330012521440913,1.6025036052336432,True,1462.0,1.0,0,41.983574867248535
Independent,Beta_1_1_constrained,"N(0,10²)",HalfCauchy_beta2p5,sigma_collateral,0.8,0.8164115757924044,0.016411575792404376,0.0002693398199898333,0.016411575792404376,0.3553351756599922,1.260283956822698,True,1396.0,1.0,0,41.983574867248535
Independent,Beta_1_1_constrained,"N(0,10²)",HalfCauchy_beta2p5,Z,,0.947523625756975,,,,0.9410494967445472,0.9499368749257637,,2372.0,1.0,0,41.983574867248535
Independent,Beta_1_1_constrained,"N(0,10²)",HalfCauchy_beta5,mu_omega,0.5,0.315378898457482,-0.18462110154251798,0.03408495113477274,0.18462110154251798,0.11831080910778508,0.5103092559801321,True,2659.0,1.0,0,39.88307023048401
Independent,Beta_1_1_constrained,"N(0,10²)",HalfCauchy_beta5,sigma_omega,1.0,1.253422950609314,0.25342295060931397,0.06422319189553079,0.25342295060931397,0.7031438374827488,1.6304143538472906,True,1323.0,1.0,0,39.88307023048401
Independent,Beta_1_1_constrained,"N(0,10²)",HalfCauchy_beta5,sigma_direct,1.2,1.2002170427265964,0.00021704272659639479,4.7107545168397374e-08,0.00021704272659639479,0.7531684527152017,1.6100891747474082,True,1387.0,1.0,0,39.88307023048401
Independent,Beta_1_1_constrained,"N(0,10²)",HalfCauchy_beta5,sigma_collateral,0.8,0.8234941735590101,0.023494173559010068,0.0005519761912208878,0.023494173559010068,0.34221980244027433,1.2704847618259625,True,1584.0,1.0,0,39.88307023048401
Independent,Beta_1_1_constrained,"N(0,10²)",HalfCauchy_beta5,Z,,0.9474733812951481,,,,0.940515457765899,0.9499386901625466,,2171.0,1.0,0,39.88307023048401
Independent,Beta_1_1_constrained,"N(0,10²)",HalfNormal_sigma2,mu_omega,0.5,0.3148422031173021,-0.1851577968826979,0.03428340974645441,0.1851577968826979,0.11449420241216439,0.5113910676270685,True,2434.0,1.0,0,42.18954396247864
