ZPrior,MuPrior,SigmaPrior,mu_omega,sigma_collateral,sigma_direct,sigma_omega
Beta_1_1_constrained,"N(0,10²)",HalfCauchy_beta1,0.18969362614706542,0.04824458984258373,0.03331838131856757,0.19749819875880625
Beta_1_1_constrained,"N(0,10²)",HalfCauchy_beta2p5,0.1839407179860333,0.016411575792404376,0.0006997159568864486,0.25589082986169887
Beta_1_1_constrained,"N(0,10²)",HalfCauchy_beta5,0.18462110154251798,0.023494173559010068,0.00021704272659639479,0.25342295060931397
Beta_1_1_constrained,"N(0,10²)",HalfNormal_sigma2,0.1851577968826979,0.03053610438340515,0.001534648260891558,0.25045686837017
Beta_1_1_constrained,"N(0,2²)",HalfCauchy_beta1,0.18334693899350352,0.03601186579203697,0.02165587247559375,0.22353609523672135
Beta_1_1_constrained,"N(0,2²)",HalfCauchy_beta2p5,0.1883984725650958,0.011714041990286028,0.0013476779254195659,0.25148539368456024
Beta_1_1_constrained,"N(0,2²)",HalfCauchy_beta5,0.18596446764309926,0.007974854922371044,0.013118265627547254,0.26353775009040437
Beta_1_1_constrained,"N(0,2²)",HalfNormal_sigma2,0.1859722440934402,0.03487824030596587,0.01749633143592,0.23497935970679507
Beta_1_1_constrained,"N(0,5²)",HalfCauchy_beta1,0.18718951066906986,0.03400137785354984,0.030722443368472296,0.21212121330718348
Beta_1_1_constrained,"N(0,5²)",HalfCauchy_beta2p5,0.18427013496153122,0.017565550550541098,0.004962444046588077,0.24690641171604422
Beta_1_1_constrained,"N(0,5²)",HalfCauchy_beta5,0.18469215837753927,0.022863650859134665,0.002228406898570068,0.24995271932750351
Beta_1_1_constrained,"N(0,5²)",HalfNormal_sigma2,0.18547014360511355,0.021783441156145278,0.00483352227813838,0.2493589485358183
Beta_2_2_constrained,"N(0,10²)",HalfCauchy_beta1,0.18555305261463784,0.04954038056294663,0.037816901910509015,0.207706682608791
Beta_2_2_constrained,"N(0,10²)",HalfCauchy_beta2p5,0.17861698585855063,0.02428542406099532,0.006031522288768576,0.24189505218090335
Beta_2_2_constrained,"N(0,10²)",HalfCauchy_beta5,0.18766676661389592,0.014791519280903165,0.009908453051677979,0.26497540564261723
Beta_2_2_constrained,"N(0,10²)",HalfNormal_sigma2,0.18486402944050473,0.025913322596040844,0.012539200498640657,0.23903883055215513
Beta_2_2_constrained,"N(0,2²)",HalfCauchy_beta1,0.1849570753608002,0.04417233306949331,0.03325780446278981,0.20794416854725029
Beta_2_2_constrained,"N(0,2²)",HalfCauchy_beta2p5,0.18555489185315993,0.026059436766982746,0.012512000382680188,0.23591019703268468
Beta_2_2_constrained,"N(0,2²)",HalfCauchy_beta5,0.18571418350688612,0.023307495207836704,0.00762823648801203,0.24739851715170702
Beta_2_2_constrained,"N(0,2²)",HalfNormal_sigma2,0.18638415421699017,0.026548590211789236,0.006256585632078426,0.24720319705332927
Beta_2_2_constrained,"N(0,5²)",HalfCauchy_beta1,0.18484075415360918,0.05062499304953094,0.03353595725401748,0.2104184781987064
Beta_2_2_constrained,"N(0,5²)",HalfCauchy_beta2p5,0.18214734411195777,0.02932783246084203,0.010789620230439168,0.23424844191727012
Beta_2_2_constrained,"N(0,5²)",HalfCauchy_beta5,0.18537261727445342,0.013718808222755063,0.01599976516956425,0.27263874267436994
Beta_2_2_constrained,"N(0,5²)",HalfNormal_sigma2,0.18413280382594055,0.02503116747895706,0.010402888460966153,0.24257688590066762
