ZPrior,MuPrior,SigmaPrior,AvgRMSE,CoverageRate,MinESS,MaxRhat,Divergences,ElapsedSeconds
Beta_2_2_constrained,"N(0,10²)",HalfCauchy_beta2p5,0.11270724609730447,1.0,792.0,1.01,0,42.469682931900024
Beta_1_1_constrained,"N(0,2²)",HalfCauchy_beta2p5,0.1132363965413404,1.0,867.0,1.0,0,37.55477809906006
Beta_1_1_constrained,"N(0,5²)",HalfCauchy_beta2p5,0.11342613531867615,1.0,1063.0,1.01,0,37.74464464187622
Beta_2_2_constrained,"N(0,5²)",HalfCauchy_beta2p5,0.11412830968012727,1.0,838.0,1.01,0,41.96958661079407
Beta_1_1_constrained,"N(0,10²)",HalfCauchy_beta2p5,0.11423570989925574,1.0,1294.0,1.0,0,41.983574867248535
Beta_1_1_constrained,"N(0,5²)",HalfCauchy_beta5,0.11493423386568688,1.0,1366.0,1.01,0,36.34021878242493
Beta_2_2_constrained,"N(0,2²)",HalfCauchy_beta2p5,0.11500913150887689,1.0,990.0,1.0,0,43.20681285858154
Beta_1_1_constrained,"N(0,5²)",HalfNormal_sigma2,0.11536151389380388,1.0,1392.0,1.0,0,38.673030376434326
Beta_1_1_constrained,"N(0,10²)",HalfCauchy_beta5,0.1154388171093596,1.0,1323.0,1.0,0,39.88307023048401
Beta_2_2_constrained,"N(0,5²)",HalfNormal_sigma2,0.11553593641663285,1.0,1276.0,1.0,0,40.35825729370117
Beta_2_2_constrained,"N(0,10²)",HalfNormal_sigma2,0.11558884577183534,1.0,1351.0,1.0,0,39.937647104263306
Beta_1_1_constrained,"N(0,5²)",HalfCauchy_beta1,0.11600863629956887,1.0,1143.0,1.0,0,42.09103465080261
Beta_2_2_constrained,"N(0,2²)",HalfCauchy_beta5,0.11601210808861047,1.0,956.0,1.0,0,41.98185634613037
Beta_1_1_constrained,"N(0,2²)",HalfCauchy_beta1,0.1161376931244639,1.0,1275.0,1.0,0,39.14245104789734
Beta_2_2_constrained,"N(0,2²)",HalfNormal_sigma2,0.11659813177854678,1.0,1014.0,1.0,0,39.49496245384216
Beta_1_1_constrained,"N(0,10²)",HalfNormal_sigma2,0.11692135447429115,1.0,1216.0,1.01,0,42.18954396247864
Beta_1_1_constrained,"N(0,10²)",HalfCauchy_beta1,0.11718869901675574,1.0,616.0,1.01,0,45.20394587516785
Beta_2_2_constrained,"N(0,2²)",HalfCauchy_beta1,0.1175828453600834,1.0,1189.0,1.01,0,44.95133113861084
Beta_1_1_constrained,"N(0,2²)",HalfCauchy_beta5,0.11764883457085548,1.0,1113.0,1.0,0,38.76714754104614
Beta_1_1_constrained,"N(0,2²)",HalfNormal_sigma2,0.11833154388553029,1.0,1390.0,1.0,0,36.41990828514099
Beta_2_2_constrained,"N(0,10²)",HalfCauchy_beta5,0.11933553614727357,1.0,1184.0,1.0,0,40.7860369682312
Beta_2_2_constrained,"N(0,5²)",HalfCauchy_beta1,0.119855045663966,1.0,1067.0,1.0,0,46.187825202941895
Beta_2_2_constrained,"N(0,10²)",HalfCauchy_beta1,0.12015425442422112,1.0,1219.0,1.0,0,45.330443143844604
Beta_2_2_constrained,"N(0,5²)",HalfCauchy_beta5,0.12193248333528567,1.0,1251.0,1.0,0,41.722339153289795
